gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Dglucy	1099.97738514667	1.25219943181682	0.159772253213141	7.83740234386226	4.59962412460637e-15	9.09207700710941e-11
Gem	1067.39796447946	-1.08014991018916	0.148629570217209	-7.26739577198955	3.66483902690343e-13	3.62214365224e-09
Adamts8	1465.35291884053	0.926941098103074	0.132146691530595	7.01448585179652	2.30796079849855e-12	1.5207153701307e-08
Ephx1	11088.4480191887	0.964348497527945	0.143297442383951	6.72969790307959	1.70015701324303e-11	8.40175092019375e-08
Eda2r	850.270744509197	2.60446491148867	0.403215844611029	6.4592325581876	1.05235286362177e-10	3.98801369801241e-07
Gas6	13796.4398667377	0.799484915285604	0.124182008486198	6.43800921753057	1.21050651024811e-10	3.98801369801241e-07
Celf5	86.6425225750578	2.87271540260626	0.448887646161477	6.39963123773041	1.55752657630776e-10	4.3982325476965e-07
Phlda3	3143.48666644872	1.38158371826154	0.21809251127842	6.33485171115202	2.37569649850864e-10	5.87004908575255e-07
Psrc1	487.760796288408	2.76876854242912	0.43920273745991	6.30407851836728	2.89913504235435e-10	6.3674669313576e-07
Exoc4	4332.41673189601	0.848961746820279	0.137361600172437	6.18048818413979	6.3903679449632e-10	1.237000035747e-06
Hlf	1609.08973376933	2.3770786748593	0.385342751611337	6.16873851894028	6.88369524622704e-10	1.237000035747e-06
Ddias	173.63503548269	2.11759457728559	0.345383600921969	6.13113816531205	8.72525874634297e-10	1.43726824699135e-06
Ddit4l	235.178634899487	1.54075795213336	0.254094944318648	6.0637095958949	1.33017239923123e-09	1.87810841540027e-06
Ccng1	10299.5745850329	1.42791075947625	0.235222095450708	6.07047886696286	1.27529398663584e-09	1.87810841540027e-06
Slc19a2	684.803414574951	1.08963254260531	0.182538982853067	5.96931420113367	2.38252903707741e-09	3.1396967650606e-06
Mat2a	15119.8166928101	-0.946415846393068	0.159322195247434	-5.94026365832612	2.84564034911967e-09	3.51561079881553e-06
Exosc7	1772.15567321866	-0.75585562770477	0.129106337468389	-5.85451994476906	4.783898020157e-09	5.56254777437902e-06
2900052L18Rik	524.291676531864	1.04102535311692	0.188607614935718	5.51952981045717	3.39907929524877e-08	3.73275557939903e-05
Mafk	4571.98948377102	-0.683987624836588	0.124864496737583	-5.47783911926595	4.30551312822978e-08	4.07480545282439e-05
Dusp8	1847.04657200717	-0.986796985265462	0.180175121720343	-5.4768770285451	4.32897832292772e-08	4.07480545282439e-05
Tspan4	2040.27012286366	1.72275039038536	0.31445008822052	5.4786131564931	4.28672408304236e-08	4.07480545282439e-05
Gdf15	331.854135006118	2.69626743249336	0.493605349916237	5.46239507523755	4.69753189308736e-08	4.220732405939e-05
Spon2	1063.72366433326	-2.84176763374022	0.521844641938819	-5.44562002817955	5.16252366779676e-08	4.43685240614515e-05
Igfbp3	2113.44475918915	-1.9332593061842	0.357650476440706	-5.40544311704477	6.46483658157208e-08	5.32460102949731e-05
Rem1	363.816630424119	-0.863829324557177	0.160799957934422	-5.37207431925738	7.78360140286823e-08	6.15433795721985e-05
Or8b53	123.479241186372	1.44688459136236	0.270151135992468	5.35583382260034	8.51627540241382e-08	6.47466214921208e-05
Ak1	1228.82461580607	1.00249379472606	0.188706224958474	5.31245747164229	1.08156672884229e-07	7.63547483179486e-05
Smtnl2	990.485214239258	0.867667725479903	0.163188317837726	5.31697205398432	1.05508265383016e-07	7.63547483179486e-05
Gm56960	297.243406694552	-1.19454235486155	0.225421905597259	-5.29914052361765	1.16349064187287e-07	7.93059293720724e-05
Ccbe1	1050.54262800461	0.791627889760475	0.150192004204122	5.27077252850688	1.35850748866362e-07	8.95120584280461e-05
Cpa3	198.741082540176	-1.64835643782008	0.315670334446863	-5.22176542407266	1.77225378089023e-07	0.000112211008705358
Zmat3	2730.21798875297	0.940079893234377	0.180188790421139	5.21719409424534	1.81653881649793e-07	0.000112211008705358
Ndufb2	316.527698934333	-0.780452848292073	0.150195283510095	-5.19625403709577	2.03344338157984e-07	0.000121803258556632
Gm37795	613.104468817965	1.58692389725319	0.3059662917138	5.18659715213858	2.14171319754285e-07	0.000124515425811263
Galns	685.759903887617	1.01927902932009	0.197068885561288	5.17219664797413	2.31357909947542e-07	0.000130664337312373
Inf2	2731.46639637307	0.607793797742267	0.117660408898206	5.16566110413657	2.3959055764063e-07	0.000131555182024509
Stx19	355.378939384329	-0.850161854352962	0.165080687691341	-5.14997766390789	2.60517482119349e-07	0.000139179704569005
Met	2880.95509343047	-0.767798348125583	0.150738300379962	-5.09358501582024	3.51355386208863e-07	0.000182769524189226
Thbs3	2847.31921989541	-0.983757998905976	0.194890286596965	-5.04775284640222	4.47036931973247e-07	0.000226578949597825
AI197445	148.855948925355	-0.915784654840498	0.182167695080435	-5.02715179239733	4.97818299919447e-07	0.000246009358362693
Chodl	21.6136395909114	6.06286737242108	1.20948588971509	5.01276403799077	5.36536766077994e-07	0.000258676152562529
Fanca	465.923995707589	0.66358119834911	0.132733420629326	4.99935280205155	5.75230664299971e-07	0.000270728203362322
Per3	3305.17983861985	2.24272300768124	0.449499661387996	4.98937641188873	6.05745131382119e-07	0.000278459628186752
S1pr2	1764.84197667207	0.804225697838389	0.16197800007928	4.96503042045685	6.86903021559669e-07	0.000301733600603777
Tef	10699.6795020803	1.49493778007999	0.301027587311168	4.96611554254225	6.83072674747983e-07	0.000301733600603777
Fcna	66.5127706781083	2.31210657692119	0.467191718198913	4.94894598267852	7.46164499000078e-07	0.000314432937821998
Arrdc4	2017.31799936563	-0.809489756039562	0.163580714730617	-4.9485647337623	7.47627261477913e-07	0.000314432937821998
Podn	1783.87416258186	0.958584589052006	0.19421347735264	4.93572640847922	7.98529836299938e-07	0.000328844568211268
Cdr2	1567.27654256768	-0.631055187750507	0.128035446666842	-4.92875374889393	8.27558016539663e-07	0.000333843659447745
Rasgef1b	2507.2969324379	-1.19606051769005	0.243551141605318	-4.91092141800878	9.06494132387616e-07	0.00035837339029812
Eif5a2	903.250527529939	0.634383379833596	0.129515209060213	4.89813809850442	9.6749031343751e-07	0.000374987863249397
Mmp2	5141.07436410322	1.23282271723346	0.253005458572522	4.87271193352566	1.10076669874103e-06	0.000418439525654116
Dclk3	92.0197043874941	1.70528828484422	0.350293897632502	4.86816440814294	1.12639604436493e-06	0.000420103219037009
P4ha1	4307.00823149965	-0.727214274916333	0.150158348284168	-4.84298264616038	1.27904463554038e-06	0.000468201394643088
Kcnh2	486.50887722447	0.750702558458697	0.155334003514511	4.83282823769212	1.34606917911109e-06	0.000476150686783003
Fermt2	14075.6190398341	-0.551664511234287	0.114159419155993	-4.83240467858782	1.34893703950261e-06	0.000476150686783003
Gtse1	209.52972640886	1.63691336227098	0.339775840472241	4.81762729214619	1.4527541047982e-06	0.000503799831395545
Wipf3	870.856277456828	0.863531767816081	0.179777863173031	4.80332646397602	1.56051139857654e-06	0.000531838427856248
Aen	1954.90223380006	0.74221778443045	0.15538869306655	4.77652375976013	1.78351488758526e-06	0.000597537945472845
Cd109	151.720622967975	1.21478672655541	0.256819791773579	4.73011335367175	2.24394509775333e-06	0.000729260364857023
Pfkp	3422.12660960603	-0.458226710080074	0.0968864209358649	-4.72952458821245	2.25046199505633e-06	0.000729260364857023
Pappa2	125.966882050656	1.8388608732667	0.390416571615201	4.70999698004392	2.47720461991122e-06	0.000773786334374751
Ttyh2	628.162835418634	0.77762071273346	0.165180682388919	4.70769766468544	2.50530305053797e-06	0.000773786334374751
Abra	181.904636617425	-1.4063340369482	0.298414266014544	-4.7126903674225	2.44467517565568e-06	0.000773786334374751
