gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Rnase2a	52.9249598901291	17.6185606270725	2.18484124094236	8.06400039367316	7.38375208245071e-16	2.46248131949731e-11
Gbp10	110.992579967072	-3.01430347675358	0.53098262672929	-5.6768401168243	1.3720560165567e-08	0.000228790340760829
Eda2r	850.270744509197	-2.15002017669732	0.450411950567791	-4.77345277803353	1.81094025982319e-06	0.0201316192217012
Ddias	173.63503548269	-1.71554935114678	0.416944635956426	-4.11457350257425	3.87895944982127e-05	0.323408244128848
Mafk	4571.98948377102	0.58477143128637	0.152701020710228	3.8295188111156	0.000128394068904933	0.856388439595904
Gm38212	0.439834606492509	0.00385640949572083	0.277882522309869	0.0138778411238852	0.988927440250088	1
Gm37108	0.436051387383139	-0.0022049637631023	0.274681093522887	-0.00802735905417741	0.993595162933066	1
Gm29155	7.71176599739332	-0.147521731424679	0.362196792797819	-0.407297177551285	0.683789735523456	1
Gm29157	4.79004479642714	-0.00487257395936705	0.231000019074017	-0.0210933920217806	0.983171156126359	1
Gm29156	13.8009822920946	-0.105497657191918	0.250281678651849	-0.421515700870252	0.673378548581024	1
Gm8141	0.544661179950747	-0.00687280727974272	0.277341746925131	-0.02478100522529	0.980229642040545	1
Pcmtd1	5338.36664618033	-0.0148576732842395	0.110550565195383	-0.134397081172589	0.893088589583471	1
Gm26983	0.518205750135398	0.00176734247328736	0.273440325590978	0.0064633571126265	0.994843023054344	1
Gm38372	58.5928421929279	-0.0772516464420131	0.212783736460752	-0.363052401123062	0.716565740504519	1
Gm9826	1.52273965263352	0.00693151219774802	0.270358015446042	0.0256382714835078	0.979545859864702	1
Gm26901	4.86080998698222	-0.0423185390476058	0.245218660608939	-0.172574709210622	0.86298573272301	1
Gm30414	0.443088261274433	-0.000132072475534228	0.275764559566392	-0.000478932012662892	0.999617867556031	1
Cdh7	0.405441149051833	-0.00236081193105085	0.277085295183931	-0.00852016318471076	0.993201975587867	1
Exo1	71.6590779976752	-0.339291879451902	0.490920614762547	-0.691133900775412	0.489481397778579	1
Becn2	0.335050258218838	-0.00110791059002754	0.277261564059514	-0.00399590398974209	0.996811738384764	1
Uxs1	1364.66764581361	-0.0625956454911482	0.133879021214837	-0.467553802852354	0.640103708018041	1
Cdh19	42.0300751649127	-0.0838672540248415	0.224169676260352	-0.374123991361961	0.708312070140946	1
Gm36944	0.432215406739632	0.00512878844733803	0.276292905166941	0.0185628669843662	0.985189825582214	1
Gm16103	1.4582503680678	-0.00468641814694772	0.270203804552991	-0.0173440124379472	0.986162174027267	1
Gm19587	4.41474174523365	0.0518444387354322	0.245119161437053	0.211507082642929	0.832491606074868	1
Gm8173	1.75106628937308	0.028281975878308	0.267342977188702	0.105789110960433	0.915749676501906	1
Dsel	848.504263926099	-0.184867571423698	0.124456125322958	-1.48540355843455	0.1374369536101	1
Gm6028	0.721522761054897	0.00268155134808904	0.27212195513538	0.00985422637712189	0.992137592162782	1
Pld5	9.28772262988588	-0.043246403557711	0.312670745126713	-0.138312919362459	0.889993115471472	1
Rbm8a2	3.46779909161695	0.0147207756498497	0.241288308515827	0.0610090714315906	0.951351984557628	1
Asic4	4.00036981835204	-0.0352336377444266	0.258901629749202	-0.136088899009857	0.891751003189546	1
Cntnap5a	2.22410306562405	-0.0133239266559275	0.297528238017408	-0.0447820574770047	0.964281026802914	1
Sntg1	3.45011148448725	0.0347264732764467	0.280166643566105	0.123949349695704	0.901355378780577	1
Gm15452	0.324496290150608	-0.00110787551163973	0.277261561761226	-0.00399577750555202	0.996811839303741	1
Gm36964	2.23751189111396	0.0106455101349904	0.254549858422737	0.0418209234173335	0.966641455128318	1
Gm54706	0.503533224639936	0.000622825920207783	0.271837229393138	0.00229117226363074	0.998171910624126	1
Gm6187	0.341585323714723	-0.00249910170381755	0.275146190763789	-0.00908281411012885	0.992753062495409	1
Gm18300	3.98504730538175	-0.0172548739681209	0.262959839371532	-0.0656179057964122	0.94768203307244	1
Rrs1	897.469751362495	0.030934050980801	0.144618599223878	0.213900916941626	0.830624325166278	1
Gm29106	10.1116946177902	-0.0186022479106776	0.279278354203907	-0.0666082696015021	0.946893562178912	1
Adhfe1	415.139650823432	0.0913788957498574	0.156122789440539	0.585301454562214	0.558345036991679	1
Gm6161	11.5512715445732	-0.00582151919083306	0.215097835096195	-0.0270645178192035	0.978408275065675	1
Vxn	7.77731612995421	-0.0184963279659566	0.226970555351852	-0.0814921915192191	0.935050534491213	1
Cep170	2929.38384151254	-0.169409493871959	0.163195707119136	-1.03807567528898	0.299234825049331	1
3110062G12Rik	1.17110736517076	-0.00643057049324572	0.280397602322862	-0.0229337570648742	0.981703113227387	1
Gm38104	4.74709084670808	-0.0304187093651297	0.254419667494121	-0.119561155254762	0.90483079254059	1
Gm36992	1.53986126246059	-0.00304018518886251	0.259618235775846	-0.011710214345218	0.990656814307885	1
Gm54718	0.423794415414311	0.00342977555795728	0.275321614146759	0.0124573421835637	0.99006073607516	1
Gm19503	0.544752458783005	0.00341853494736609	0.274523608324807	0.0124526082409692	0.990064512921912	1
Mybl1	259.684310874842	-0.796992666665246	0.358797530167159	-2.22128805149226	0.0263314576271653	1
Vcpip1	2853.31852283378	-0.0893918869712031	0.119932447006632	-0.745351981071977	0.456058964639514	1
Tpp2	3011.79834959358	-0.0325208688141878	0.0982873343993256	-0.33087547864571	0.740738544902864	1
Sdccag8	963.812291031763	0.0143374842103144	0.0978962046988861	0.146455976045387	0.883561441137705	1
