gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Dglucy	1099.97738514667	1.16717673199923	0.167024231849702	4.59962412471074e-15	9.09207700731571e-11
Gem	1067.39796447946	-0.995792400374831	0.15194945833734	3.66483902637831e-13	3.622143651721e-09
Adamts8	1465.35291884053	0.857053924483044	0.132401517564064	2.30796079764398e-12	1.52071536956762e-08
Ephx1	11088.4480191887	0.882770562769526	0.144154300210933	1.70015701338631e-11	8.40175092090182e-08
Eda2r	850.270744509197	2.26998676187557	0.400994477045252	1.05235286362172e-10	3.98801369719998e-07
Gas6	13796.4398667377	0.738440059419933	0.123232542200351	1.21050651000151e-10	3.98801369719998e-07
Celf5	86.6425225750578	2.4512502069522	0.442974414812523	1.55752657699019e-10	4.39823254962358e-07
Phlda3	3143.48666644872	1.23493462891205	0.235105141341855	2.37569650017454e-10	5.87004908986876e-07
Psrc1	487.760796288408	2.36768509087113	0.435401689303782	2.89913504235465e-10	6.36746693135826e-07
Exoc4	4332.41673189601	0.773923965196854	0.136636230668911	6.39036794462095e-10	1.23700003574698e-06
Hlf	1609.08973376933	2.07182551777491	0.391137087338185	6.88369524622692e-10	1.23700003574698e-06
Ddias	173.63503548269	1.86802580979195	0.359012925184996	8.7252587508984e-10	1.43726824774174e-06
Ddit4l	235.178634899487	1.36409407965597	0.277849772716479	1.33017239951346e-09	1.87810841579876e-06
Ccng1	10299.5745850329	1.26172595344457	0.255818696376226	1.27529398765225e-09	1.87810841579876e-06
Slc19a2	684.803414574951	0.962659702126054	0.187556077974577	2.38252903736812e-09	3.13969676544371e-06
Mat2a	15119.8166928101	-0.845840346368199	0.159952668404998	2.84564034982289e-09	3.51561079968432e-06
Exosc7	1772.15567321866	-0.690630612840722	0.128265429514659	4.78389801892739e-09	5.56254777294928e-06
2900052L18Rik	524.291676531864	0.902980573822891	0.192557226212883	3.39907929550136e-08	3.73275557967641e-05
Mafk	4571.98948377102	-0.623485607475727	0.125402337776573	4.30551312745352e-08	4.07480545393088e-05
Dusp8	1847.04657200717	-0.859172873562147	0.182407928326832	4.32897832410323e-08	4.07480545393088e-05
Tspan4	2040.27012286366	1.46911872830408	0.350700681631218	4.28672408672851e-08	4.07480545393088e-05
Gdf15	331.854135006118	2.1762535594157	0.513892939655383	4.69753189308753e-08	4.22073240593914e-05
Spon2	1063.72366433326	-2.25880185770463	0.54123763188491	5.16252366779691e-08	4.43685240614529e-05
Igfbp3	2113.44475918915	-1.63193500814587	0.395894466619953	6.46483658157228e-08	5.32460102949747e-05
Rem1	363.816630424119	-0.761148670395098	0.161045802485536	7.78360140054109e-08	6.15433795537983e-05
Or8b53	123.479241186372	1.21982316886651	0.299443012777901	8.51627540193217e-08	6.47466214884589e-05
Ak1	1228.82461580607	0.862828784662375	0.191989349903833	1.08156672897489e-07	7.63547483273092e-05
Smtnl2	990.485214239258	0.761854241770108	0.163661768039683	1.05508265386282e-07	7.63547483273092e-05
Gm56960	297.243406694552	-1.00870520400217	0.238444551652387	1.16349064205374e-07	7.93059293844007e-05
Ccbe1	1050.54262800461	0.702306389842735	0.150622758383419	1.3585074885572e-07	8.95120584210336e-05
Cpa3	198.741082540176	-1.37229904232375	0.35760514311681	1.77225378162093e-07	0.000112211008735964
Zmat3	2730.21798875297	0.811371630197276	0.182206582814221	1.8165388169934e-07	0.000112211008735964
Ndufb2	316.527698934333	-0.691032734060511	0.151047520234817	2.03344338060492e-07	0.000121803258498235
Gm37795	613.104468817965	1.3165443518431	0.346360302551505	2.14171319888342e-07	0.000124515425889202
Galns	685.759903887617	0.867270917571328	0.201704798064716	2.31357909993696e-07	0.00013066433733844
Inf2	2731.46639637307	0.552773798181633	0.121535931034557	2.39590557570235e-07	0.000131555181985857
Stx19	355.378939384329	-0.741601768108893	0.166239764528625	2.6051748205577e-07	0.000139179704535038
