gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Rnase2b	15.381695302033	-18.0957676336926	1.768526993829	-10.2321127677638	1.4237873954152e-24	2.63030483429005e-20
Rcan1	2632.82407956419	-1.39115355679806	0.189808023043236	-7.32926635288312	2.31416051108454e-13	2.13759006408879e-09
Pvr	2256.90727621752	-0.86554271442604	0.128404462670375	-6.7407525908812	1.57568317458118e-11	9.70305698907091e-08
Abra	181.904636617425	-2.1514827022037	0.338757890943431	-6.35109250506869	2.13791091649053e-10	9.87394156781151e-07
Noct	818.705583752633	-1.68782492579727	0.272977531796881	-6.18301775493069	6.28876380811198e-10	2.32357245182121e-06
Hbegf	2770.88201676812	-1.41341027759169	0.231119011136275	-6.11550850206042	9.6249550704602e-10	2.96352366619469e-06
Tnfrsf12a	1420.35895081303	-2.02018490602394	0.33255241522172	-6.07478645036165	1.24152828412025e-09	3.2765705029768e-06
Medag	267.828958136404	-1.7836332727664	0.296291287796843	-6.01986405347623	1.74563619853179e-09	4.03111039145953e-06
Elovl6	520.192743306881	-1.12217624362588	0.190185533508114	-5.90042903330499	3.62557542068582e-09	6.69788803217498e-06
Flnc	585.056829934534	-1.99956348538979	0.338289628689963	-5.91080339392362	3.40443179020877e-09	6.69788803217498e-06
Cd22	1282.00333584564	1.92970071804967	0.32995577973366	5.84836161866092	4.96438387401097e-09	8.33745706258896e-06
Creb5	573.02961563628	-1.18655645922461	0.20563331402956	-5.77025403118312	7.91521206721007e-09	1.21854689774699e-05
Plat	2654.15283179854	-1.03059601859902	0.17977460917069	-5.73271177366599	9.88375105818227e-09	1.40455705422199e-05
Dusp6	6041.19206101601	-0.969909793079785	0.169962570243418	-5.70660817667498	1.15249670766238e-08	1.52080172695391e-05
Sele	128.438744602505	-2.37557518538722	0.421638677872757	-5.63414911879627	1.7592475087371e-08	2.16668923176061e-05
Trib1	2375.51885963384	-1.20240860286179	0.214540426692565	-5.60457822051799	2.0876269781862e-08	2.41042629968824e-05
Gfpt2	681.82382617821	-1.63400241919995	0.294645833724398	-5.54564915629638	2.92865550930255e-08	3.18258716934443e-05
Frmd4a	4363.53362303238	0.699110930652173	0.12645789932549	5.52840854055886	3.23148818460752e-08	3.27816980625053e-05
Rgs3	3010.91393205091	0.882317577481412	0.159812320258846	5.52096093750679	3.37150732482191e-08	3.27816980625053e-05
Dusp8	1847.04657200717	-1.10232978326111	0.202938289101633	-5.43184722873591	5.57736624586892e-08	5.15181320130913e-05
Iglc2	347.299178286096	1.80908047970731	0.333934260184563	5.41747492068483	6.04466251101464e-08	5.31757596326117e-05
Cstf3	1508.68978151279	-0.55017072348155	0.102373889018101	-5.37413132155479	7.69527606017885e-08	6.2860801074445e-05
C1qtnf7	1796.8499146924	0.778277577074962	0.144901180824235	5.37109202732454	7.82612549914602e-08	6.2860801074445e-05
Clec14a	16053.8236768052	0.962088615238268	0.180490940588804	5.33039836847049	9.79975629463084e-08	7.54336240779209e-05
Tril	750.404113323999	1.3806829777991	0.259746060920044	5.31551074502765	1.06358572995297e-07	7.85947311006045e-05
Ms4a1	1365.81155920035	1.85656178194325	0.35283814195316	5.26179446379047	1.42656189654801e-07	0.000101362709526261
Siglecg	810.738992857754	1.96350259072964	0.374162185636775	5.24773124090028	1.53983710791521e-07	0.000105359076783799
Fzd6	2228.19097386775	0.574763142743114	0.109723696855462	5.23827722921373	1.62082465539109e-07	0.000106939695298911
Tnfrsf13c	210.894902377308	1.72700528683181	0.331685798996063	5.20675076249589	1.92175936007972e-07	0.000122422697993492
Nr2f2	3777.12234379312	0.875998231922516	0.169614379687668	5.16464602550561	2.4089435455662e-07	0.000138569283216966
Lrig3	517.870458957673	1.05421388425236	0.204322278195317	5.15956406498468	2.47525514028358e-07	0.000138569283216966
Zfp395	1507.73554314561	0.937460842552996	0.181677234884213	5.16003473495433	2.46904029097087e-07	0.000138569283216966
Trim16	4715.20276456289	-0.641654791814846	0.124285781839425	-5.16273689812605	2.4336508693128e-07	0.000138569283216966
Ahr	4418.52664915798	1.03645780582103	0.201217169625204	5.1509411833572	2.59182468557767e-07	0.000140827556592241
