gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Dusp8	1847.04657200717	-1.66884736394973	0.162736187132146	-10.2549248164122	1.12463488064853e-24	2.73173812509529e-20
Pvr	2256.90727621752	-1.01435461338978	0.102788066713166	-9.86840832623478	5.70628637338688e-23	6.93028480047837e-19
Cdr2	1567.27654256768	-1.04921592620844	0.115448807000312	-9.0881487082461	1.00739687873069e-19	7.20211942593576e-16
Has1	124.664287700362	-2.49418218777135	0.274980990466161	-9.07038040536218	1.18602213683586e-19	7.20211942593576e-16
Rcan1	2632.82407956419	-1.26365445372319	0.151929414039312	-8.3173785781614	8.99301475856068e-17	4.36880656970878e-13
Xcr1	149.500896432035	2.36610125763425	0.285824578386479	8.27815883081585	1.25094306443597e-16	5.06423450585827e-13
Abra	181.904636617425	-2.14586676743121	0.268790461639767	-7.98341858688086	1.42335203162181e-15	4.93903154972769e-12
Noct	818.705583752633	-1.73121207616106	0.218337491191531	-7.92906461786903	2.20802640910091e-15	6.70412018463264e-12
Flt3	294.843720329043	1.649308320761	0.213093322341068	7.7398404729041	9.95416309598181e-15	2.68651801779331e-11
Iglc2	347.299178286096	2.05618554017842	0.269596213053882	7.62690809669296	2.4045087838119e-14	5.8405518358791e-11
Mafk	4571.98948377102	-0.847938683030366	0.112882638812309	-7.51168374474518	5.83716671672817e-14	1.28895254135752e-10
Zbtb21	1066.37198517014	-0.567245737968368	0.0756501437237807	-7.49827706923515	6.46621092996215e-14	1.3088688624065e-10
Ptgs2	990.15562678997	-2.14986019498883	0.288790917012981	-7.44434837918462	9.74240929628949e-14	1.69030801290623e-10
Flnc	585.056829934534	-2.01666373661641	0.270555034789732	-7.45380228530474	9.06878723997989e-14	1.69030801290623e-10
Ccnl1	4953.09593019721	-0.797832653465403	0.108083664177957	-7.38162107598234	1.56373716460952e-13	2.53221171522435e-10
Mbd1	6663.14905857789	-1.02538346582102	0.14314759087846	-7.16312066118961	7.88608784432599e-13	1.19720671086674e-09
Nes	12960.1885587059	-1.03136849589911	0.145142386002364	-7.10590837250196	1.19533701358225e-12	1.70792565058311e-09
Hyou1	6196.72037056131	-0.876438455615283	0.124419225921295	-7.04423652474499	1.86481145264378e-12	2.51645945470653e-09
Dnajb5	1602.97724010485	-0.789448458041411	0.112508295645471	-7.01680221455912	2.27003588956859e-12	2.625674845601e-09
Hsph1	4115.90886630371	-1.8652220379442	0.265617598617136	-7.02220804515574	2.18389014909492e-12	2.625674845601e-09
H2-DMb2	980.041756202682	1.67073012351041	0.238050386386729	7.01838862297077	2.24441559760452e-12	2.625674845601e-09
Hspa1b	907.01225977228	-3.20834307821979	0.45779117718185	-7.00831129592812	2.41211663869111e-12	2.66319605244577e-09
Nod2	443.095491233138	-1.29533506157159	0.18531742972751	-6.98981776013325	2.75243536671123e-12	2.90681108945286e-09
Gfpt2	681.82382617821	-1.64344408249497	0.235654530425468	-6.97395496504047	3.0815276323136e-12	3.11876275787073e-09
H2-Oa	131.269166328113	2.24167710599764	0.321849569927308	6.96498400325327	3.28441068775176e-12	3.19113342421961e-09
Gpr34	186.913287877206	1.31919323473286	0.189728462321245	6.95305922260217	3.57448539326176e-12	3.33939423855109e-09
Pou2af1	1133.97534899983	1.20277702000261	0.173483932729287	6.93307444142091	4.11791366483045e-12	3.70459714513821e-09
Cd22	1282.00333584564	1.83108284437227	0.265095011070936	6.90727010280211	4.94068702692516e-12	4.16386818313417e-09
Cep83os	540.969062947814	0.860675258566069	0.124620058537181	6.90639427287125	4.97127119435532e-12	4.16386818313417e-09
Wipf3	870.856277456828	1.11393237480654	0.162659199098962	6.84825931135208	7.47539737025517e-12	5.8573355523709e-09
Hspa1a	401.872752781469	-2.9068310131375	0.424413972262275	-6.8490464572669	7.43438531139009e-12	5.8573355523709e-09
Plekha8	1108.56478288969	-0.797168931172867	0.116543311399711	-6.84010881103939	7.91330510274079e-12	6.00669315454918e-09
Cd3g	576.642123853451	1.07173419034233	0.15797924895175	6.78401877115934	1.16878132808465e-11	8.60293892702311e-09
P2ry10	812.794288771933	1.21013961813581	0.179054761480649	6.75848890098681	1.3943832916128e-11	9.96163828037501e-09
Zfp362	1455.18497871117	0.768903371197747	0.114907277923652	6.69151149597876	2.2087714668433e-11	1.53288739798925e-08
