gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Rnase2b	15.381695302033	17.4564762298652	1.66063983613426	2.79722381374685e-26	5.16759127351594e-22
Cabp1	275.674764133985	-0.980786202177791	0.184831210687212	2.55483891034127e-09	1.57326980098815e-05
Ttll3	858.228027304813	-0.717814104131242	0.152271008271878	2.42806331581094e-09	1.57326980098815e-05
Gm19721	85.6930999031276	-1.2850808757774	0.279096369015464	2.46748736065856e-08	0.000113960903752015
Gm57146	44.3064183096212	-1.1886999588287	0.280510617583231	1.01084995040826e-07	0.000311240699730704
2610306O10Rik	32.7481505332899	-1.47957476436316	0.472344681057901	8.91738050232541e-08	0.000311240699730704
Tmem44	3563.89039000515	-0.724017945119355	0.195194385693602	1.37675554429883e-07	0.000363345456076807
Xcr1	149.500896432035	1.23009931869916	0.315925832886139	1.91266491341091e-07	0.000441682145129413
Gm17112	89.5031935112914	-0.938813021494675	0.254598996442762	4.53408338435153e-07	0.000837626564425102
5430416N02Rik	219.026968263435	-0.837563448107968	0.233483257430926	4.2544107890409e-07	0.000837626564425102
Plp2	2305.86878757114	0.418420150015114	0.132648261837377	1.29345142179732e-06	0.00176480320327736
Muc1	5846.25052498002	0.507874284792488	0.172203854247492	1.12532222791713e-06	0.00176480320327736
Haus8	519.591844157299	0.38953582262724	0.117566686513576	1.33740634653475e-06	0.00176480320327736
Gbe1	1133.65889752783	0.38334681300417	0.113193294147803	1.19498852681594e-06	0.00176480320327736
St6galnac3	848.730128049896	-0.656485213876972	0.23261775340129	2.14042355628264e-06	0.00232601086933915
Erlec1	1729.5110456698	0.367770487064649	0.109630416506323	2.07552315252356e-06	0.00232601086933915
Fignl2	727.035308573387	-0.511736870773322	0.182702313848761	2.01627001598088e-06	0.00232601086933915
Gm56165	17.8042384016979	-1.13024789379062	0.442127451845714	2.30531910959569e-06	0.00236602584614837
Abcd3	7304.45147247823	0.320625380680878	0.0868990170038054	2.86404887953239e-06	0.00244746340394265
Pole3	1422.89144986659	0.346677725923487	0.100673921346954	2.88241018130732e-06	0.00244746340394265
Spon2	1063.72366433326	-1.06685859643564	0.644507649679372	2.91459320595098e-06	0.00244746340394265
Dym	1266.55130458328	0.385109989565212	0.121972493344607	2.64051070562133e-06	0.00244746340394265
Shank3	7371.39699658776	-0.51207431896794	0.191609627920127	3.3351295299061e-06	0.00267883404067327
Hoxb4	787.168785397869	-0.562617261637228	0.214064511937054	3.63487547921695e-06	0.00279794540012724
Gm31619	186.633995030676	-0.747694617494524	0.280306438512318	4.46622063716422e-06	0.00317342154042199
C530005A16Rik	64.002883497558	-0.965483857176915	0.363692179644598	4.38707095638918e-06	0.00317342154042199
Snx25	6535.97573229753	0.312496824242211	0.0864554967653331	4.89988577328399e-06	0.00335261073243142
Cpa3	198.741082540176	-0.987615955795673	0.39229291766042	5.10585565754371e-06	0.00336877062205223
Clasrp	1872.32209268754	-0.427374120287989	0.158346336444015	6.10637472624642e-06	0.0038899712652647
A030001D20Rik	530.693732027608	-0.637136926375585	0.263573230440059	8.09080822905505e-06	0.00482159971688913
Mlc1	2095.36260272681	0.434087196754503	0.166969706902092	7.98122735900841e-06	0.00482159971688913
Gm45250	191.694402067722	-0.711881447989435	0.296224794177537	9.08547271457516e-06	0.00524515696653317
Spata5l1	558.707088281994	-0.299072803238767	0.0850766220491238	1.06424448018728e-05	0.00595783409908479
Rab3c	249.858421437155	0.88946933896279	0.398267369449966	1.10673952891601e-05	0.00601350178152775
Eef1a1	154875.652321445	0.277513256502562	0.0754430197586272	1.17481536787468e-05	0.00602876086281021
AI197445	148.855948925355	-0.585154960315588	0.254170938591645	1.1700894542e-05	0.00602876086281021
Trdc	83.1524302622444	0.700736180536423	0.310675197468265	1.37391301168436e-05	0.00660773682727588
Gm45606	101.061867026081	-0.656845574650549	0.29211427235046	1.39494281835964e-05	0.00660773682727588
Zbtb21	1066.37198517014	-0.286060958211166	0.0803408414694281	1.37222342780646e-05	0.00660773682727588
Tlcd5	265.248974845431	-0.521451891309244	0.231775803407772	1.55232819673284e-05	0.00681838042693452
Cd3g	576.642123853451	0.524934095968596	0.233428667883001	1.54204363656843e-05	0.00681838042693452
Dlg4	1921.94281336937	-0.370203582250165	0.135828793814758	1.58704318695564e-05	0.00681838042693452
Grp	90.4841996134437	0.905432477963492	0.480979756864649	1.49146756647748e-05	0.00681838042693452
Slc46a3	940.251129485404	0.386908714480113	0.150095911054137	1.78749685140301e-05	0.00711004495300032
Wee1	1055.68855304553	0.768552140444947	0.361545658649788	1.80887795166729e-05	0.00711004495300032
Spc24	172.121604307077	0.826780738417155	0.401642475324865	1.79787544046471e-05	0.00711004495300032
