gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Gbp10	110.992579967072	3.48934851164589	0.603474840403436	2.02843637138085e-09	6.75469311669824e-05
Gbp6	766.458854353838	0.724087048832796	1.05032067324385	5.73342584694325e-06	0.0954615403516051
Gbp7	4279.54719864205	0.126607530137597	0.403621409781101	2.28612503397682e-05	0.214113458617445
Igtp	2259.51291049007	0.140464730778099	0.450817424575553	2.57193343684618e-05	0.214113458617445
Irgm1	2180.55771056868	0.0554319201860044	0.266813571355672	5.46319360681488e-05	0.303207245178226
Or2v1	281.988516286661	0.0880075232421111	0.380933299078064	5.40529929073587e-05	0.303207245178226
Gm37018	5.85890423525737	-0.210243988960536	1.02534877093956	7.29632566270939e-05	0.307146393056217
Adipoq	80.1605647699549	-0.189679595248942	0.814919519761265	7.37889232567487e-05	0.307146393056217
Gbp9	5272.62411782759	0.0126028412919622	0.113080198552848	0.00017841196477473	0.540243326825342
Gvin-ps1_ENSMUSG00000109685	4.9995360166734	0.0982968777115408	0.690685781442231	0.000179591960780206	0.540243326825342
Trim21	1144.6163140321	0.00542806576714476	0.0572523523779589	0.000178867110911355	0.540243326825342
Ifit3b	836.890572638472	0.0342105958444189	0.252955498551878	0.00019468227993706	0.540243326825342
Tgtp2	1879.44685085475	0.0195098992823533	0.16632022465618	0.000213519443074939	0.546938265722729
Gbp2	4084.26031214717	0.010151980497897	0.103333358777052	0.000247820452971655	0.589458648854007
Gbp3	2531.02111864086	0.0146761899116957	0.153363812546491	0.000378409842732121	0.636177819671113
Gbp4	5429.24204689734	0.0156355995651338	0.158675625580652	0.000355059608225419	0.636177819671113
Parp12	3369.63044006935	0.00334221182497853	0.0447516677490828	0.000344222119720263	0.636177819671113
Gm12185	320.864982122924	0.0120535861589855	0.129519425272641	0.000358454942048631	0.636177819671113
Ifi47	2074.18608332163	0.00681717934230084	0.0837195292733361	0.000382088780583251	0.636177819671113
Irgm2	3920.29650775478	0.0107089130837997	0.114357200630778	0.000315703123007696	0.636177819671113
Ccl17	244.076814713675	-0.0294869463481883	0.277967859730072	0.000418198509677068	0.66314335105935
Acsm5	13.059627023938	-0.0277606886082641	0.269704537708144	0.000448137943189833	0.673893439028667
Kcnmb4	18.2592533425483	-0.0151885930926998	0.166158118722374	0.000465451924854635	0.673893439028667
Ifit3	3019.44028026324	0.0182559140759555	0.195617447603802	0.000492669139945605	0.683578431674527
Atf3	1090.96471056399	-0.00873601456370736	0.11120297320944	0.000541725972063787	0.721578994788964
4833412K13Rik	21.063833597719	0.013641162825588	0.160830218819154	0.000571857769900454	0.728422438400949
Stat1	2276.91396270867	0.00444063798435261	0.0678249091378911	0.00066119576012712	0.728422438400949
Dusp27	29.1326292246119	-0.0125579597408318	0.157758391372621	0.000684867836420179	0.728422438400949
Zbp1	711.866905325877	0.0167562774995404	0.192089144517648	0.000595192445063844	0.728422438400949
Nr2f2	3777.12234379312	0.00196111750854043	0.0329467275739316	0.000675042242180986	0.728422438400949
Dusp8	1847.04657200717	-0.00268096804562286	0.0438197376897801	0.000645968497325648	0.728422438400949
Egln3	111.186734146786	-0.0035231252108175	0.0567806870100005	0.000699985526391303	0.728422438400949
Gvin2	707.976902975983	0.00590406955772469	0.0920989391901443	0.0008929280871869	0.888014948779215
Ifit2	1949.10348646592	0.00315278972137027	0.0553094228629229	0.000906681929684484	0.888014948779215
H2-T23	9796.59307259185	0.0020088406974554	0.0376762670883263	0.000960839656522899	0.914170301777501
Xaf1	1292.83474237387	0.00596997254256516	0.0955060968243073	0.000995989864282321	0.921290624461147
Fer1l6	28.0766693379572	-0.0119256679187173	0.168835967847148	0.00102379966379835	0.921419697418513
Gm38212	0.439834606492509	0	0.0377147550109671	1	1
Gm37108	0.436051387383139	7.40114443791074e-05	0.0327879636306653	0.729298386226612	1
Gm29155	7.71176599739332	7.40539320860854e-05	0.0106474735879513	0.321876919013136	1
Gm29157	4.79004479642714	1.48569599670156e-05	0.00793121101621416	0.805532001210342	1
Gm29156	13.8009822920946	8.08033976751487e-05	0.00927860904247698	0.236465437001173	1
Gm8141	0.544661179950747	0.000118327985238019	0.034707724544855	0.593839449578389	1
Pcmtd1	5338.36664618033	-2.63462489411828e-05	0.00439604331156959	0.856427892847149	1
Gm26983	0.518205750135398	-4.12486589224239e-06	0.0291537876980922	0.983689695456564	1
Gm38372	58.5928421929279	0.000204144906493717	0.0118423179737002	0.0461866161538445	1
Gm9826	1.52273965263352	7.54664815778524e-05	0.0197172808005993	0.611931844528034	1
Gm26901	4.86080998698222	5.65566001371995e-05	0.0109877259695727	0.471799338194966	1
Gm30414	0.443088261274433	0	0.0316253848120272	1	1
Cdh7	0.405441149051833	0	0.0368610243109641	1	1
Exo1	71.6590779976752	4.44151969393387e-05	0.00604779445117072	0.406018386877254	1
Becn2	0.335050258218838	0	0.0377147550109671	1	1
Uxs1	1364.66764581361	3.48484574487665e-05	0.00440847217254069	0.772579541948416	1
Cdh19	42.0300751649127	2.73048329004781e-05	0.00516713916652504	0.595808582978046	1
Gm36944	0.432215406739632	-9.51019111845307e-05	0.0359661874355745	0.668204543013003	1
Gm16103	1.4582503680678	-1.55395774259721e-05	0.0202636269523226	0.920920675066699	1
Gm19587	4.41474174523365	-8.15957591760955e-05	0.0121011655251508	0.332034155261052	1
Gm8173	1.75106628937308	-0.000118646869100243	0.0220829767109912	0.464196790723457	1
Dsel	848.504263926099	0.00024662673692333	0.00456978359680502	0.0937654284967129	1
Gm6028	0.721522761054897	-9.61386215790989e-05	0.0273288037768236	0.624570522060891	1
Pld5	9.28772262988588	1.45489102442813e-06	0.00733319475340836	0.979491506712983	1
Rbm8a2	3.46779909161695	-5.99094147339215e-06	0.00972461574316908	0.935811974846079	1
Asic4	4.00036981835204	8.63709437811755e-05	0.0147357936059622	0.408761913134872	1
Cntnap5a	2.22410306562405	-0.000124265433869131	0.0231299198892889	0.463652110212861	1
Sntg1	3.45011148448725	-9.46305121927723e-05	0.0165697167321161	0.426683790171523	1
Gm15452	0.324496290150608	0	0.0377147550109671	1	1
Gm36964	2.23751189111396	-4.84080034779934e-05	0.0150101049601261	0.670486770622572	1
Gm54706	0.503533224639936	3.64960827415323e-05	0.0273886672092345	0.852034329797468	1
Gm6187	0.341585323714723	7.48362479068743e-06	0.0322872773040906	0.971608534856332	1
Gm18300	3.98504730538175	4.82946990091588e-05	0.0137342273022696	0.638898454620717	1
Rrs1	897.469751362495	-4.69422794936423e-05	0.00443132831089829	0.649418641391822	1
