gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Cd109	151.720622967975	-1.19450721864761	0.192624295399735	1.5999219994408e-10	5.32774025813785e-06
Ighv9-4	73.7385314678048	2.7734727953012	0.87818293732252	1.06659881307601e-07	0.00177588702377156
Ereg	43.3184138042458	-1.82181634685753	0.94211863047656	1.12205901574174e-06	0.0124548550747333
B3gat2	85.6057778908274	-0.627616120792445	0.288099408339122	1.77157114567784e-06	0.014748329787768
Krt79	373.537272033452	0.824613141131761	0.703000249818887	8.80870709809072e-06	0.0586659892732842
Sync	70.2186902300178	-0.340338749300529	0.394132889859958	2.12516453540932e-05	0.117946631715217
Sftpb	96222.9368401387	0.0830947501305239	0.115571072027373	3.26640197177557e-05	0.148838173384005
Ighv2-9	99.9594675619388	0.420356655160844	0.82598391354096	3.57569185306919e-05	0.148838173384005
Dio2	128.557300707612	-0.320885698393941	0.519055521659333	4.7622906854611e-05	0.176204755362061
4933430I17Rik	28.0865022663206	-0.271644429723532	0.616250753706466	7.18366236743122e-05	0.204446641588466
Mmp13	54.017259881521	-0.252823352768111	0.582855715909718	7.98140042237255e-05	0.204446641588466
Col1a1	11087.7964552048	-0.156906152040347	0.297392638199394	7.64885935727469e-05	0.204446641588466
Gm48500	44.7839142674201	-0.238928852386469	0.433660192117625	6.65422722659948e-05	0.204446641588466
Grem1	40.7585902406132	-0.206360009464283	0.594331198824221	9.79023840642273e-05	0.205563113748338
Gpnmb	3717.73676007577	-0.21300637823985	0.571056010976825	9.87690636628651e-05	0.205563113748338
Ighv10-3	219.057132496616	0.234466710817256	0.54751085064386	8.8669367326934e-05	0.205563113748338
Cidec	355.911240902567	0.161078858961085	0.347518764160975	0.000106599919893143	0.208810431320097
Npy	8.42596433064971	-0.0567740044426458	0.402652583037268	0.00014396668662082	0.243189420701379
Cemip	118.703555355527	-0.14923706194305	0.462761503714213	0.000162434704314468	0.243189420701379
Pira1	160.825107670599	-0.130966462864166	0.355621419380759	0.000176329759328532	0.243189420701379
Oat	9872.71179706847	0.0476942481891202	0.0425380536889598	0.000189863607348091	0.243189420701379
Ear1	908.83387600444	0.0748311507772125	0.190445762099059	0.000197180611379496	0.243189420701379
Ccr2	3667.05092704836	-0.0734516139103576	0.182107829849583	0.000186825920703799	0.243189420701379
Gm26797	132.750504599748	-0.0808549738366369	0.192313040191648	0.000159815416960021	0.243189420701379
Ighv5-9	130.686757241805	0.139517523968792	0.426313699081472	0.000179207600517174	0.243189420701379
Slc39a4	2686.71784332651	0.0529453353024914	0.08854395558863	0.000134485043847047	0.243189420701379
Gm56490	33.200042973042	-0.115491753017884	0.314214708229915	0.000190999375451622	0.243189420701379
Bpifb5	144.954792919996	0.0800204970942912	0.222728558056485	0.000235755605351971	0.249501499522967
Armcx4	4148.48666856023	-0.0659979566003098	0.173268791071508	0.000229568192024108	0.249501499522967
Arnt2	79.3202431172595	-0.0984632434534596	0.291094025685355	0.000239761200742792	0.249501499522967
Ankrd34b	23.4469336853781	-0.121268562404081	0.411479378561988	0.000214841980113037	0.249501499522967
Nrcam	640.553160028724	-0.092128544821498	0.261883003591097	0.000231331434467017	0.249501499522967
Tnfsf18	15.2275606827254	-0.0982128473798992	0.423497436960752	0.000248215135086709	0.25047163631477
Tnc	1465.99240250692	-0.102718331896155	0.350366344673265	0.000267068324876852	0.251926469582532
Mest	490.385086229397	-0.0556839775585971	0.147688119819654	0.000272352940089224	0.251926469582532
Gm47391	17.3406180294066	-0.101951608375485	0.34449182583316	0.000268318352752409	0.251926469582532
Ccr5	790.002406926671	-0.0786167615826867	0.258808163788982	0.00032746268394241	0.294716415548169
Ccl7	86.3846157935589	-0.0855663220007187	0.328904589960791	0.00034253776231237	0.300171249605313
Spp1	10418.867987435	-0.0786514023099936	0.311816084422636	0.000382842127708843	0.326888278274474
Ulbp1	641.020162589651	-0.0512660597988717	0.160210086843847	0.000405198904791786	0.337328088239162
Lilrb4a	2421.27309447831	-0.0503884907635191	0.164399527482841	0.000444873347101749	0.361323962402152
Igf1	1286.04856408411	-0.0631535805017177	0.23915618542239	0.000467633737441049	0.362144266436905
Cyp1a1	1915.49913048987	0.0641027987551065	0.322428138862335	0.000466319921755643	0.362144266436905
4930430E12Rik	34.5657450139471	-0.0618993934792913	0.298260768343154	0.000515363408569924	0.365140457561244
Chl1	139.923256383273	-0.0569319013197417	0.3179657651705	0.000506822479318701	0.365140457561244
Cadps2	1944.40004882991	0.040530034054013	0.0378212402333702	0.000508576409310656	0.365140457561244
Dcaf11	4119.84877764738	0.0447041401742778	0.0327184873948723	0.000504293786559675	0.365140457561244
Pappa2	125.966882050656	-0.0540051696159682	0.205871301488351	0.000539301537242831	0.3665049222487
Map2	650.448608633203	-0.0450755885086546	0.154174530987764	0.000537471795090081	0.3665049222487
Vcan	965.805499082593	-0.0438914653962361	0.158401608551964	0.000600650223639254	0.384969812487124
Has2	33.0777831937856	-0.0564808387135907	0.28185616569475	0.000584943167565921	0.384969812487124
Igfbp6	3960.32516493019	0.0389147095568574	0.12723005366274	0.000601154061541456	0.384969812487124
Col3a1	22937.5357378504	-0.0378738099958351	0.132309144969325	0.000681334200367183	0.399902747233138
Fn1	34368.8412361726	-0.0355087111962949	0.116751262731979	0.000694524121734023	0.399902747233138
Gm14461	6.94808019435573	-0.0398663547369518	0.272371489507424	0.000751741181184062	0.399902747233138
Gm43857	114.532214283248	-0.0304464827802289	0.0765803705143697	0.000799944291221883	0.399902747233138
Mul1	1335.91394283103	0.0402840230035041	0.0331593796149484	0.000804609131069677	0.399902747233138
Gm15949	3.65630306326214	0.0372924114007179	0.279934308472814	0.000674932456723092	0.399902747233138
Celf5	86.6425225750578	-0.0495626843591113	0.202890427021567	0.000637295183796448	0.399902747233138
Tdrp	529.791017419216	0.0331855913297382	0.0550303239740394	0.000655964436217352	0.399902747233138
C2cd4a	7.9154097660143	-0.0451824038592856	0.267789803310412	0.000740239309918068	0.399902747233138
Slc22a4	77.2471913688947	-0.0389316851344029	0.153293040070302	0.000772421524094173	0.399902747233138
2610035D17Rik	290.985960420108	0.0330167698092786	0.107212851066204	0.000775274039430447	0.399902747233138
Srek1	4602.78594252882	-0.0410423945611842	0.0327514328420304	0.000779840088530717	0.399902747233138
Rbm25	9849.72445294363	-0.0446541925971784	0.0304554679471288	0.000754221524254883	0.399902747233138
Mb21d2	438.859543819646	0.0313562855347301	0.0542346851885226	0.000796665692171586	0.399902747233138
Gm18648	2.67161817700456	-0.0232494043055761	0.23435841209861	0.00079645713522294	0.399902747233138
Ighv1-20	48.5399064331255	0.0441200695355162	0.245328229963628	0.000818219013558305	0.400686663992523
Cyp2b10	9974.84275309605	0.029908101743348	0.0679265210836233	0.000839176925626351	0.404994081497935
Zranb3	381.31076893911	-0.0371687492621212	0.152984434511525	0.000860460545866985	0.409333373962437
Mapk11	696.614533881568	-0.0326187564131831	0.0435415294468553	0.000894724992227202	0.413810308905081
Pcbp2	7744.39011064981	0.0442430555486601	0.0299942673356649	0.00089020757305342	0.413810308905081
Slc37a2	474.903847378875	-0.0312056606748641	0.111345920304603	0.000933532260645422	0.425844168212227
Gm37931	9.64090721537561	0.0356761020367015	0.244962710623663	0.000958524534059963	0.431336040326983
Tmem132d	411.894682469515	0.0296657628346147	0.103367164759974	0.00100013123580231	0.442419652220753
Col1a2	18561.6589511268	-0.0281146704756713	0.0794155937924537	0.00100972653359691	0.442419652220753
Ighv1-2	6.31729789395587	0.0355807921152677	0.229797386374113	0.00105009464634704	0.450340571001045
Impact	2657.3110514654	-0.0423431454125115	0.0303400192404165	0.00105485178793037	0.450340571001045
Bex4	1099.4102901373	0.0275600551096073	0.0887699669944792	0.00110617722368967	0.466274703150203
Gm16897	111.760708218074	-0.0269727999559602	0.0868462595566655	0.00116046579298313	0.47229364775056
F11r	8278.31817651539	0.047740909206209	0.0269301356678128	0.00119137136369511	0.47229364775056
Cdr2	1567.27654256768	0.0304796888653369	0.0427458447729918	0.00115684826820672	0.47229364775056
Gm26569	104.359764736131	-0.0278878790341157	0.104678388867045	0.0011834096842795	0.47229364775056
Bambi	782.33688104804	0.0264549135736505	0.0703975254557612	0.00118491129850663	0.47229364775056
Ighv6-6	156.666119677446	0.0339062081298829	0.194636707692385	0.00121067888771129	0.474301258362186
St18	9.92535218851931	-0.0295463055985102	0.213657107460465	0.00130603391851038	0.491844313944242
Ripor3	110.201357670739	-0.0253596905894267	0.0701868620118247	0.00132930895660606	0.491844313944242
Ttll3	858.228027304813	-0.0294354813739973	0.0422106517133421	0.00132309592933741	0.491844313944242
Snx25	6535.97573229753	0.0376236501250898	0.0319751830082244	0.00132525419163278	0.491844313944242
E2f3	564.341561826879	-0.0267368972834763	0.0539422830880404	0.00129586776546312	0.491844313944242
Tob2	2688.51271320015	0.0279772853864731	0.0456159252500741	0.00136584440445189	0.499808996354373
Stimate	1760.90714186014	0.0319790461554155	0.0363073373638889	0.00143956353293825	0.521059409204825
Prune2	481.255094126105	-0.025277756131033	0.102762436420493	0.0014897085459073	0.533411769663581
Acss1	2983.72393191324	0.0306975582951166	0.0372958211266815	0.0015278104794389	0.541234988992718
Ptx3	82.7171072334163	-0.0260941748407566	0.129898342057745	0.0016251109988681	0.569644171182188
Selenbp1	24930.5941478438	0.0235829538936698	0.060978748966974	0.00168740078668339	0.578384833264447
Nlgn2	3458.71988679448	-0.0253751829565749	0.0478786376133142	0.00170215356336084	0.578384833264447
Csprs	7.18391836690284	-0.0248302243488235	0.191157292977367	0.00169748940317376	0.578384833264447
Cfi	45.5105921694847	-0.02433187828979	0.112401720761687	0.00172147860367599	0.579042803054652
Gsn	97330.7061028406	0.02379760066607	0.0533463064767763	0.00180927660796637	0.597857497234923
Ighv1-19	199.042974960707	0.0256237223258344	0.151313226317411	0.00181332153815998	0.597857497234923
Fam205a1	19.642906935507	0.0245259151786362	0.165842357212886	0.00192630783352424	0.625422604597202
Mybpc2	134.957086497766	-0.0225269557107939	0.1009805626297	0.0019344903385439	0.625422604597202
Lilrb4b	3476.69478383565	-0.0231828911241409	0.119288193168516	0.00197934776337064	0.633771928079252
P4ha3	73.2692864719868	-0.0230488977492056	0.120594751416448	0.00201460715629924	0.638918269569187
Col5a2	5557.64818781238	-0.02000990643822	0.0682076524768132	0.00244101874023687	0.640989169873452
Prdx6	32887.313636106	0.0231397966563637	0.0435683058067234	0.00252316233247488	0.640989169873452
Gm13623	2.0015407821788	-0.00948191037143534	0.141614218978092	0.00252616928299281	0.640989169873452
