gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Dusp8	1847.04657200717	-1.59529505715377	0.161897721406465	1.12463488169972e-24	2.73173812764863e-20
Pvr	2256.90727621752	-0.99178399540378	0.102017754855184	5.70628636601834e-23	6.93028479152928e-19
Cdr2	1567.27654256768	-1.02016230005544	0.114359882362387	1.00739687802027e-19	7.20211943007518e-16
Has1	124.664287700362	-2.29729897381754	0.279984854551066	1.18602213751753e-19	7.20211943007518e-16
Rcan1	2632.82407956419	-1.20729761099527	0.149705612298738	8.99301476295393e-17	4.36880657184302e-13
Xcr1	149.500896432035	2.14804069385401	0.290742826305058	1.25094306503145e-16	5.064234508269e-13
Abra	181.904636617425	-1.94777014783954	0.271216637613248	1.42335203268154e-15	4.93903155340493e-12
Noct	818.705583752633	-1.59994197327079	0.216356173936162	2.20802641145844e-15	6.70412019179068e-12
Flt3	294.843720329043	1.52575101182949	0.210408788879305	9.95416309931952e-15	2.68651801869412e-11
Iglc2	347.299178286096	1.85570413767249	0.270706839934476	2.40450878619046e-14	5.84055184165662e-11
Mafk	4571.98948377102	-0.82238825683603	0.113069844574383	5.83716671477112e-14	1.28895254092537e-10
Zbtb21	1066.37198517014	-0.549754654282969	0.0779644324121846	6.46621091413679e-14	1.30886885920319e-10
Ptgs2	990.15562678997	-1.92133463474694	0.291138093919836	9.74240931095203e-14	1.69030801545018e-10
Flnc	585.056829934534	-1.81455020628333	0.270981126840499	9.06878725138659e-14	1.69030801545018e-10
Ccnl1	4953.09593019721	-0.774137501971134	0.108889576146003	1.56373716392369e-13	2.53221171411377e-10
Mbd1	6663.14905857789	-0.981506552305551	0.141528256961255	7.88608784677595e-13	1.19720671123867e-09
Nes	12960.1885587059	-0.986120797182532	0.143446564768721	1.19533701401222e-12	1.70792565119746e-09
Hyou1	6196.72037056131	-0.845067771440873	0.124467347473254	1.86481145258801e-12	2.51645945463127e-09
Dnajb5	1602.97724010485	-0.763402596508611	0.113696615354796	2.27003588844177e-12	2.62567484429765e-09
Hsph1	4115.90886630371	-1.67115486237396	0.263458670001461	2.18389015208775e-12	2.62567484429765e-09
H2-DMb2	980.041756202682	1.51751705021745	0.234242637294874	2.24441559985002e-12	2.62567484429765e-09
Hspa1b	907.01225977228	-2.69687094225955	0.476237845185243	2.41211663869111e-12	2.66319605244577e-09
Nod2	443.095491233138	-1.21152048685642	0.181541957881385	2.75243536748381e-12	2.90681109026877e-09
Gfpt2	681.82382617821	-1.49402232809916	0.231616617135401	3.081527635169e-12	3.11876276076062e-09
H2-Oa	131.269166328113	1.96001093540539	0.325406600545859	3.28441068953768e-12	3.19113342595481e-09
Gpr34	186.913287877206	1.23054171060368	0.185780663410568	3.57448539192602e-12	3.33939423730319e-09
