pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_T_CELL_RECEPTOR_COMPLEX	1.16987997844799e-07	2.94224814579671e-05	0.704975715167238	0.832328279361422	2.33721785361948	87	12502,12504,12501,12525,100125262,12503,78473,12526,100124679,22637,100125263,100039790,12500,12511,100124698,77647,107573,100124675,100043308,100124674,100124672
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	3.65560212855328e-10	1.8387678706623e-07	0.814035837847908	0.685746954228082	2.21620225585998	362	16407,80901,12502,21838,14969,12479,12504,12501,75345,16149,12487,12507,12525,12769,66864,12767,72049,252837,12518,21947,12483,16590,12481,12522,12482,98752,16641,12766,12775,30925,14990,15985,246278,16643,18671,12478,12500,16184,12477,71914,14128,12145,16161,23832,107573,21939,329693,229499,14991,16880,21940,11820,26357,14132,16192,16185,64931,18439,16542,15018,69538,27007,14103,12491,20315,11932
GOCC_IMMUNOLOGICAL_SYNAPSE	5.30934911953012e-05	0.0053412052142473	0.557332238758646	0.84087437132434	2.17006069792057	47	14969,108723,12501,16818,74734,12487,16797,78473,22637,12493,12511,18761
GOCC_MHC_PROTEIN_COMPLEX	2.63401187990258e-06	0.000331226993897749	0.627256739718528	0.93533046336891	2.13206027253896	20	14969,14998,14960,14961,16149,15002,14990,14999,15001,14991
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE	0.00069212054295199	0.0348136633104851	0.477270815362862	0.726186355945982	1.9973488664045	80	12502,14969,14960,14961,12504,16149,57265,246278,12500,12477,20404,17920,56017,22318,100017
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	0.000953073679201093	0.0435814600580136	0.477270815362862	0.751421048579403	1.99066008381543	65	12502,14969,14960,14961,12504,16149,57265,246278,12500,20404,56017,22318,100017
GOCC_LUMENAL_SIDE_OF_MEMBRANE	0.00654213543235015	0.205668382654508	0.407017918923954	0.758035598877358	1.94161217204739	40	14969,14960,14961,16149,14990,74585,16535,14991,15018,71911
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	0.000252440041659233	0.0181396201363706	0.49849310876659	0.668090541309692	1.94151583374208	128	52589,12502,14969,14960,14961,12504,16149,57265,246278,12500,20404,17920,13855,56017,22318,100017
GOCC_IMMUNOGLOBULIN_COMPLEX	9.12513593269615e-05	0.00764990562357694	0.538434096309916	0.658993413627449	1.93901456759327	145	12518,110786,16019,15985,545847,243420,692182,16098,668591,780932,629893,195297,628614,435321,380823,780803,381783,380795,382692,16071,545851,100775173,780931,619846,629884,674018,100775174,692165,668421,381777,545850,213570,382696,619916,434041,434031,238447,380808,780891,668474,16069,435900,404711,668597,780801,72699,16017,620050,243428,640506,667550,629906,22364,384419,629871,243433,110787,668589,692152,100775175,777780,780825,629865,380809,110785,780864,636260,620017,780939,381778,780883,780956,628127,619833,629860,622728,238427,243423,619994,629818,629845,620088,434025,243431,780829,100126459,629849,668478,629859,629822,18703,434609
GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	0.0043769101334543	0.169352753625193	0.407017918923954	0.793952859986472	1.92035708853633	29	14969,14960,14961,16149,14990,74585,14991,15018
GOCC_RECEPTOR_COMPLEX	1.46233371611964e-06	0.00024518461973606	0.643551836150722	0.571191457637633	1.91490129137465	467	14255,16407,12502,12504,12501,16149,22033,66873,12525,100125262,12503,78473,12526,12518,14183,16590,11622,100124679,22637,16641,16019,100125263,12902,15985,100039790,16643,12500,16184,12511,100124698,77647,16161,16421,107573,21939,100124675,21846,21687,329693,22354,14806,16880,11820,100043308,13846,17295,16419,14809,100124674,16192,16185,110542,100124672,20181,94178,110784,16542,72324,11477,12491,100124685,16440,12305,68404,239217,13835,195297,54409,53627,22041,381921,15976,100124673,16847,14257,100124677,12156,19262,54721,67784,674098,81905,51801,18779,21814,19263,16367,18186,100124680,109700,18596,16174,12931,12311,11482,27027,13385,16337
GOCC_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX	0.000375070888345404	0.0235825821047173	0.49849310876659	0.577756050841016	1.82100390169766	255	16407,12502,12504,12501,22033,12525,100125262,12503,78473,12526,12518,100124679,22637,16019,100125263,15985,100039790,12500,16184,12511,100124698,77647,16161,16421,107573,21939,100124675,14806,100043308,16419,14809,100124674,16185,100124672
GOCC_CLATHRIN_COATED_VESICLE	0.000655215818734842	0.0348136633104851	0.477270815362862	0.586137437910753	1.78440573421372	209	52589,12502,14969,14960,14961,12504,16149,57265,246278,12500,12477,98402,20404,74105,17920,51789,13855,74015,56017,22318,100017,233405,53611,13430,20388,13854,13543,52639,71732,80743,14415,11514,22041,19339,73094
GOCC_CELL_BODY_MEMBRANE	0.015756346336232	0.250407821879887	0.352487857583619	0.730186441218853	1.77038387012979	31	21838,12483,11932,69601,107448,11514,16500,98741,16337,16502
GOCC_TRANS_GOLGI_NETWORK_MEMBRANE	0.00822722281625941	0.217804898767289	0.380730400722792	0.615647196682453	1.74620400943337	102	14969,14960,14961,18197,16149,224705,233824,76332,11981,11820,98910,69169,545192,53611,77031,17912,16834,14683,14160,15531,69834,11768,11767,15566,381812
GOCC_DENDRITE_MEMBRANE	0.0124557397606471	0.250407821879887	0.380730400722792	0.66806684896217	1.71566506693054	43	21838,15166,11820,76854,12724,16500,81905,20392,16337,16502,14397
GOCC_LATE_ENDOSOME_MEMBRANE	0.00735078982125752	0.206083311659938	0.407017918923954	0.573048827531313	1.71466024451427	168	14969,14998,14960,14961,225912,70423,18197,15002,14999,15001,11981,11749,317757,545192,233405,53611,20431,94178,77031,69106,230584,74772,71732,331004,80743
GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE	0.0246759157970203	0.307145489767381	0.352487857583619	0.749690789311181	1.68400082014722	19	52589,11766,11768,11767,11771
GOCC_COATED_VESICLE_MEMBRANE	0.00958652263491623	0.241101044268143	0.380730400722792	0.543074396161398	1.64905335587292	195	52589,12502,14969,14960,14961,12504,16149,57265,14990,246278,12500,20404,17920,13855,14991,56017,22318,100017,53611,15018,13854,240756,14415,11514,22041,19339,73094,235623,54160,11766,11975,11768,16197,68861,70335,11767,56389,13645
GOCC_CLATHRIN_VESICLE_COAT	0.0299521418719282	0.327520160034346	0.352487857583619	0.665352549651228	1.64553161523563	34	52589,13855,13854,73094,11766,11768,11767,11771
GOCC_LATERAL_PLASMA_MEMBRANE	0.0315698885317822	0.330826123572634	0.321775918075361	0.616030067727971	1.63198311861849	65	12737,93840,14168,432442,56492,68617,11932,13543,51792,16500,14673,14664,101706,20501
GOCC_NEURON_PROJECTION_MEMBRANE	0.0217023525658095	0.303230092794505	0.352487857583619	0.610393054807904	1.62004074564569	62	21838,15166,11820,76854,268902,107448,12724,13823,16500,81905,193385,20392,16337,16502,14397,11539,16504,20742,57138,241226,17762,54393,14404
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	0.0294634434718846	0.327520160034346	0.352487857583619	0.608147754233435	1.6121647976164	57	14969,14960,14961,16149,14990,14991,53611,15018
GOCC_SECONDARY_LYSOSOME	0.0565656565656566	0.423906173186319	0.271288554688953	0.671503770674968	1.58270341626795	25	14969,67739,18412,14387,270160
GOCC_LATE_ENDOSOME	0.00531976380526347	0.191131513860538	0.407017918923954	0.490526828476595	1.5673856568906	303	14969,14998,14960,14961,225912,70423,18197,16149,15002,12767,12518,16160,20779,14999,15001,68767,16535,11981,26417,11749,317757,545192,233405,53611,231855,20431,319757,94178,69091,77031,20388,69106,230584,18412,74772,71732,331004,80743,22041,226518,20318
GOCC_RNA_POLYMERASE_II_CORE_COMPLEX	0.0630081300813008	0.423906173186319	0.257206466468838	0.725131446268907	1.55609512667803	15	102371,66420
GOCC_HISTONE_DEACETYLASE_COMPLEX	0.0250357158657309	0.307145489767381	0.352487857583619	0.560867042837927	1.55106691005695	82	52463,70315,15184,56233,216848,192285,79221,225895,50724,116871,23942,232232,104263,116870,67019,104383,56306,20174,78656,68703,100683,19646,268448,224829,107932,26356,71777,170787,108829,81601,100043597,20467,20466,108155,277250,15185,269610,14013
GOCC_COLLAGEN_TRIMER	0.0403147259755501	0.397613865994151	0.321775918075361	0.563434310996463	1.54737834641872	78	109323,74320,56745,12829,69183,382864,81799
GOCC_INTEGRIN_COMPLEX	0.0633946830265849	0.423906173186319	0.257206466468838	0.640366413545952	1.54642135319792	30	16407,16421,16419
GOCC_OUTER_KINETOCHORE	0.0733197556008147	0.423906173186319	0.237793834423688	0.676483104828165	1.54202478090257	20	12235,12236,67052,66468,67037,66934,219114,69556
GOCC_AUTOLYSOSOME	0.0717299578059072	0.423906173186319	0.245041785430996	0.693958146111435	1.52514600924501	17	14969,18412,14387,270160,353047
GOCC_COATED_VESICLE	0.0113965579056344	0.249237766371049	0.380730400722792	0.474101797108684	1.52434238093242	311	52589,12502,14969,14960,14961,12504,16149,57265,14990,246278,12500,93840,12477,98402,20404,74105,17920,51789,13855,74015,14991,56017,22318,100017,233405,53611,13430,20388,72108,15018,13854,13543,107975,52639,23969,71732,80743,240756,14415,11514,22041,19339,73094,235623,54160,381417,11766,21766,11975,11768,16197,68861,70335,11767,56389,13645,381812
GOCC_MAIN_AXON	0.0508130081300813	0.423906173186319	0.287857117255149	0.565421022591371	1.52297187103923	69	21838,21939,30953,213469,11820,72821,30948,16526,268902,12724,13823
GOCC_CLATHRIN_COAT	0.0764462809917355	0.426831855403284	0.234392647294686	0.580977415867523	1.50592279043983	49	52589,13855,13854,64933,73094,11766,11768,67161,11767
