pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_IMMUNE_RECEPTOR_ACTIVITY	2.88482270015979e-09	2.34536085522991e-06	0.774939030136436	0.801315411114503	2.33892243598015	134	14255,80901,14969,14960,14961,12504,16149,12769,15002,12767,252837,50931,16641,12766,12775,12902,16643,16160,16184,14762,14128,12145,16161,23832,15001,16880,69169,16192,16185
GOMF_CYTOKINE_RECEPTOR_ACTIVITY	9.86044917338064e-07	0.000200413629448961	0.643551836150722	0.797022461274751	2.23530603489009	96	14255,80901,12504,16149,12769,12767,252837,50931,12766,12775,16160,16184,12145,16161,23832,16880,16192,16185
GOMF_PEPTIDE_ANTIGEN_BINDING	1.6695016536044e-05	0.0019390069205434	0.575610261071129	0.856198085722426	2.17296844503729	44	14969,14998,14960,14961,15002,100124679,14990,100124698,14999,15001,14991,100043308,14132,15018
GOMF_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	2.78222799017486e-06	0.000452390271202432	0.627256739718528	0.918334343396799	2.13969648955915	26	80901,12769,12767,252837,12766,12775,12145,23832
GOMF_ANTIGEN_BINDING	2.32171719252856e-07	6.2918535917524e-05	0.690132458796796	0.710971962300887	2.13883864782802	191	14969,14998,12479,14960,14961,16818,15002,100124679,110786,16641,16019,14990,16643,100124698,14999,15001,21939,545847,243420,14991,16098,100043308,668591,14132,780932,15018,629893,51792,195297,628614,435321,380823,780803,380795,382692,16071,545851,100775173,780931,16197,629884,674018,100775174,668421,103806,381777,15013,213570,382696,667567,619916,434041,238447,380808,547330,780891,668474,16069,20539,435900,16768,404711,668597
GOMF_C_C_CHEMOKINE_BINDING	5.36599244950673e-06	0.000727091976908162	0.610526878385931	0.930044607129754	2.1340387792092	24	80901,12769,12767,252837,12766,12775,12145,23832
GOMF_MHC_PROTEIN_COMPLEX_BINDING	2.14732776066016e-05	0.00218222183677089	0.575610261071129	0.888257672360636	2.11862128026524	30	14969,14998,14960,14961,12504,16149,12525,15002,12482,16641,16643,14999,15001
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	8.8704652721638e-09	3.60584413313459e-06	0.747739663149885	0.618845562725037	2.06483812766708	445	80901,78826,23796,14368,23890,321019,213439,14652,12769,12767,229323,252837,57265,382045,12766,12775,238377,19062,14762,12671,12145,23832,65086,269604,70086,13618,14369,233081,14370,14768,68797,22354,76854,20608,11610,14761,78560,319757,24100,14766
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	7.92022198725712e-05	0.00715460052848893	0.538434096309916	0.905154252538033	2.04964321505018	20	14969,14998,14960,14961,12504,16149,15002,12482,14999,15001,11744
GOMF_CHEMOKINE_BINDING	0.000707817517824719	0.0575455641991496	0.477270815362862	0.817286068025307	1.98205083727951	33	80901,12769,12767,252837,12766,12775,12145,23832
GOMF_WNT_RECEPTOR_ACTIVITY	0.0119185535297864	0.380420336661237	0.380730400722792	0.844851118618428	1.88007445021465	16	14368,57265,14369,14370,269831,26563,14367,18763,20187
GOMF_CORECEPTOR_ACTIVITY	0.00296668214775043	0.185531737393931	0.431707695803346	0.700974354731713	1.85948839491835	62	80901,12504,12487,12525,12767,12526,16161,329693,229499,16185,16542,68799
GOMF_SIGNALING_RECEPTOR_COMPLEX_ADAPTOR_ACTIVITY	0.00875291197101047	0.338039284752754	0.380730400722792	0.710810163679703	1.84019849636501	50	12502,12501,16797,77647,51791,263876,14696,100017,17060,17974
GOMF_POLYSACCHARIDE_BINDING	0.0226724929836021	0.472634276812014	0.352487857583619	0.782337516275575	1.79337239332394	23	14969,13853,18606,19011,18605
GOMF_IMMUNOGLOBULIN_BINDING	0.0297671903118009	0.529146461081522	0.352487857583619	0.767605650232884	1.75960215820997	23	12504,12483,12482,14128,14132,69169
GOMF_WNT_PROTEIN_BINDING	0.0312073474054257	0.529146461081522	0.352487857583619	0.7245368956659	1.70560683628955	29	14368,57265,14369,14370,53627
GOMF_DNA_ENDONUCLEASE_ACTIVITY	0.0163772592658589	0.380420336661237	0.352487857583619	0.677012900392741	1.70029661497007	42	13421,338371,17193,234396
GOMF_CLATHRIN_BINDING	0.0149608897067995	0.380420336661237	0.380730400722792	0.658818393691949	1.67535454329972	46	52589,18197,13855,100017,216810,30948,13854
GOMF_PEPTIDE_BINDING	0.00280578323855212	0.185531737393931	0.431707695803346	0.545363325125833	1.67350159779376	230	14969,14368,14998,14960,14961,16149,15002,229323,100124679,14990,100124698,14999,15001,14991,100043308,100017,14132,65945,20608,20181,24067,15018,18552,12491
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	0.0123566881522126	0.380420336661237	0.380730400722792	0.589290421034744	1.66709364295512	99	14255,14183,16590,21846,21687,68797,13846,17295,110542,16542,11477,12305,13835,108075,13848,116701,14257,21814,13645,18186,18596,11482,16337,26563,18187
GOMF_ATP_DEPENDENT_DNA_DAMAGE_SENSOR_ACTIVITY	0.0379603212711507	0.529146461081522	0.321775918075361	0.736547429845672	1.66549151732156	17	17685,17350,57434,17687,18861,114714,13404,217716,17686
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.015492026639404	0.380420336661237	0.380730400722792	0.59806992588787	1.65657920362518	81	14255,14183,16590,21846,21687,68797,13846,17295,16542,12305,13835,13848,116701,14257,13645,18186,18596,16337,26563,18187
GOMF_SULFOTRANSFERASE_ACTIVITY	0.0233019562699185	0.473612261186094	0.352487857583619	0.650157165656346	1.65005158133948	44	53374,216881,98388,60322,15476,54371,22021,54200,15531,23908,72136,59031,58250,77590,56773,50787,22022,320916,76969,17423,26887
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.0154405878926201	0.380420336661237	0.380730400722792	0.562310087273161	1.62945254912845	116	23796,14652,229323,19062,70086,13618,22354,20608,11610,12425,54409,51801,14064,54140,14767,12311,230103
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.00484986911096384	0.24643397420085	0.407017918923954	0.543176247396049	1.62705324190072	184	14255,26399,16818,20304,14183,16590,22637,20779,16428,21846,21687,68797,51789,12229,13846,17295,21682,226250,73086,11302,16542,13549,12143,12305,69181,13835,12169,13848,116701,14257,11350,20811,110279,54721,22165,12389,13645,18186,213452,12988,18596
GOMF_PHOSPHOLIPASE_ACTIVATOR_ACTIVITY	0.05	0.529146461081522	0.287857117255149	0.720755848462389	1.6234307606097	18	16818,20304,20779,12229
GOMF_GLYCOLIPID_BINDING	0.0538976540630773	0.529146461081522	0.321775918075361	0.68266765112901	1.6070439195636	29	21838,19063,56356
GOMF_NUCLEOTIDE_RECEPTOR_ACTIVITY	0.0516898608349901	0.529146461081522	0.282013350011725	0.709500247486204	1.60433204413382	17	23890,229323,18439,18438
