pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	4.55284734635264e-06	0.00168207014687065	0.610526878385931	0.702000914087034	2.13881455256545	122	232174,15488,20322,320204,52538,97212,74121,16922,14073,26569,14085,11370,56690,66253,93732,15107,66887,20501,113868,11652,64898,11364,110446,71985,66904,102448,12908,19305,231086,18634,70025,102632,11450,384783,16828,51798,14245,66841,13177,20524,110821,68631,11430,11363,12896,73724,100705,67528,110842,11992,52815,26378,19299,15108,71767,66968,106648,11666,93747,72129
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	4.6616611970469e-08	4.73624777619965e-05	0.719512826338911	0.626487463262353	2.0652327038115	236	18242,232174,15488,20322,320204,52538,70266,97212,22117,74121,16922,14073,26569,14085,11370,56690,66253,93732,14718,15107,66514,66887,20501,113868,246221,78038,11652,64898,11364,72039,76282,110446,71985,66904,102448,14719,12908,19305,229905,104776,231086,18634,108682,12583,70025,102632,11450,11720,384783,16828,12041,51798,14261,14245,66841,434437,13177,19125,20524,15186,14645,30956,110821,68631,58875,14874,107747,11430,11363,12896,73724,11847,214579,70503,76187,15356,100705,18416,67528,110842,269823,11992,52815,26378,19299,216456,15108,71767,268860,66968,12971,106648,11666,93747,72129
GOBP_FATTY_ACID_CATABOLIC_PROCESS	9.13226632843547e-05	0.0176731096946484	0.538434096309916	0.690455787544205	2.06196415940296	101	15488,320204,52538,97212,74121,16922,14073,26569,11370,56690,66253,93732,15107,66887,113868,11652,64898,11364,110446,71985,66904,12908,19305,231086,18634,70025,102632,11450,384783,51798,14245,66841,13177,20524,110821,11430,11363,12896,73724,100705,67528,110842,11992,26378,19299,15108,71767,66968,106648,11666,93747,72129
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	0.00394811615957103	0.121586836624913	0.407017918923954	0.812532864826237	2.05066443852903	33	93726,19329,18703,13587,13586,14109,228801,67248,18126
GOBP_LIPID_OXIDATION	0.000146773908946039	0.0220921913317298	0.518848077743792	0.672362301689534	2.0342286407939	115	15488,18984,320204,52538,97212,74121,16922,11370,108099,56690,93732,15107,66887,72674,113868,11652,11364,110446,71985,12908,19305,14077,231086,67800,18634,102632,11450,384783,51798,14261,11689,66841,11529,68465,11532,13177,20524,11430,11363,12896,19017,100705,110842,102294,11992,26378,19299,15108,71767,66968,207952,106648,11666,93747,72129
GOBP_FATTY_ACID_BETA_OXIDATION	0.00275359908857127	0.110798284118353	0.431707695803346	0.696000956225039	1.99726089161372	72	15488,320204,52538,97212,74121,11370,56690,93732,15107,66887,113868,11652,11364,110446,71985,12908,19305,231086,18634,102632,11450,384783,51798,66841,13177,20524,11430,11363,12896,100705,110842,11992,26378,19299,15108,71767,66968,11666,93747
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	2.64955067312585e-09	1.07677739355834e-05	0.774939030136436	0.583871008483552	1.98968119416972	347	18242,232174,15488,20322,68738,320204,52538,70266,97212,14751,22117,74121,16922,14073,14635,26569,14085,11370,60525,56690,66253,93732,14718,67689,15107,66514,66887,56050,20501,11669,113868,246221,78038,11652,56012,64898,11364,72039,13806,76282,110446,71985,66904,244757,18641,18640,102448,14719,21991,56421,12908,19305,229905,104776,231086,18634,108682,18746,12583,70025,20887,102632,11450,11720,384783,16828,12041,51798,14261,67041,14245,109857,76654,66841,434437,11532,13177,19125,319625,110119,20524,15186,14645,30956,110821,68631,58875,14874,107747,11430,11363,12896,73724,11847,214579,53618,14651,70503,76187,15356,100705,18655,18416,67528,110842,269823,11992,52815,26378,14430,18642,266781,19299,216456,15108,71767,13076,268860,66968,12971,106648,11666,93747,72129,94044,18126,13115,606496
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	0.000146773908946039	0.0220921913317298	0.518848077743792	0.870865013905653	1.96822984293378	19	93726,13587,13586,14109,228801,67248,18126
GOBP_TRICARBOXYLIC_ACID_CYCLE	0.00644242225779413	0.144651956108704	0.407017918923954	0.79153396793835	1.96625575222116	30	269951,20917,17448,14194,66945,18597,11429,17449,18293,56451,66052,67834,15929
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	0.00600666200912658	0.141104476330002	0.407017918923954	0.690798837803762	1.95331941511411	66	93726,58809,22041,67701,14027,12310,11820,13587,11727,13586
GOBP_ACYL_COA_METABOLIC_PROCESS	0.00274843286138821	0.110798284118353	0.431707695803346	0.656775277683935	1.95304502824502	96	15488,68738,20917,14081,18597,228026,60525,56690,18293,13350,56451,264895,228859,110446,29807,104112,18604,329910,67800,74205,70025,102247,171210,12041,107476,26897,106529,30956,73724,68801,170439,67053,100705,54397,18655,67528,68603,272428,11666,17850,20216,27273,94180,27402,14104,74559,270076
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	6.28508894356741e-06	0.0021285501222215	0.610526878385931	0.606916917616724	1.94584471371488	193	20322,102774,110350,69297,77254,50525,227613,69329,75563,75564,67378,171567,18830,72873,382406,381229,546143,69310,381107,381738,71860,75172,212892,110082,105833,104346,207607,237806,271564,75504,69707,242253,260305,69327,78774,21689,380654,69315,69260,226162,68922,18011,69306,75472,12589,104362,332934,636104,71877,75556,16977,214704,52028,68721,17427,66722,16578,71840,71177,235345,21336,114606,75429,213402,70882,16330,71233,21645,54562,70426,433700,327954,320244,227058,67483,330830,22210,68625,240960,226356,382113,22142,320277,74453,382562,21337,232943,227736,106757
GOBP_SARCOMERE_ORGANIZATION	0.00914257792049032	0.172900140239336	0.380730400722792	0.714596791006695	1.93445943366636	49	59006,17930,213435,17888,20807,11472,16669,11465,21956,21393,22138,17868,380698,68794,13008,22388,68760,13009,24131,17929,22003
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	0.00127381993431005	0.0709151262059732	0.45505986738723	0.646508327666555	1.91775100393085	98	93726,66294,14027,20301,12310,11820,20295,21946,13587,14433,11727,13586,20312,20202,14109,14061,20299,67248,20085,330122,18829,19946,20304,18778,56221,18843,57266,19695,20311
GOBP_FATTY_ACID_METABOLIC_PROCESS	2.49032030690562e-08	3.37355390908815e-05	0.73376198835648	0.557227605345871	1.91566937139359	384	13087,22229,15488,18984,13088,68738,320204,52538,97212,74121,104158,19225,16922,14073,26569,14081,11370,228026,60525,108099,56690,230796,66253,93732,15107,66887,76267,72674,19223,113868,68453,11652,264895,64898,11364,18627,11671,14870,12408,110446,29807,71985,66904,104112,66082,77219,13120,13107,12389,12908,19305,14077,18023,18604,329910,231086,67800,74205,18634,12491,16418,70025,102247,102632,11450,68312,384783,96979,171210,12041,51798,14261,14245,11689,66841,107476,11529,74134,68465,11532,26897,394435,13177,14863,20524,106529,68041,110935,56473,110821,68631,26394,23945,11430,11363,12896,73724,68801,19017,170439,67053,212980,235623,100705,18655,64292,56448,67528,110842,102294,11992,229211,18946,13244,26378,64383,19299,23887,15108,67856,22433,71767,13076,272428,66968,81877,207952,106648,16891,11666,17850,93747,26457,13106,14598,72129,60527,20216,78894,27273,94180,13078,16149
GOBP_SPERM_FLAGELLUM_ASSEMBLY	0.0124540035018116	0.192440712213283	0.380730400722792	0.692231858430002	1.90264337201727	56	102774,69297,77254,50525,69329,75563,67378,72873,382406,381229,381738,75172,69707,78774,380654,18011,12589,104362,332934,636104,17427,66722,213402,320244,330830,22210,68625,226356,320277,74453,382562,232943,227736,75437,22335,67645,110012
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	1.58423561019853e-08	3.21916675992342e-05	0.73376198835648	0.548712902365966	1.90073165750703	423	52331,18984,269951,16548,227731,20917,17448,68943,13056,14194,140491,14751,68198,12359,66945,110078,70556,14635,14121,18597,12606,67273,11370,14555,11429,17449,20463,108099,18293,19045,74178,71361,56451,66972,67472,14936,17995,11652,56012,11364,18627,21881,103172,70383,19062,17685,66694,19052,13806,110446,14584,57436,14148,68077,18641,18706,18640,102448,209224,21991,56421,67876,110095,66052,67834,18746,16418,11820,75530,66129,170768,11450,15929,384783,66170,18124,16828,170731,67041,74185,66841,226646,70673,243853,14433,74637,66092,12857,100198,626359,107747,11430,11739,66148,110639,19017,54403,72900,109815,19895,76187,15356,14711,22273,56490,74777,100705,18655,433766,110842,244416,20779,74370,77559,14381,67680,16847,22113,18642,12868,216019,16195,21351,78330,230125,11564,66494,50799,11428,11666,11639,94044,20930,14004,75406,12974,56327,18126,606496,104130,78894,66840,67130,58200,14387,12862,109264,105193,17991,66416,19047,68015,16189,319801,66091,66414,72157,71336,19082,18682,18747,66576,225887,11676,14467,12183,13853,67636,216805,66445,20848,209692,76668,74450,68342,20533,56312,22228,20411,12865,54405,16337,66114,72759,69702,216963,107197,15277,11950,20523,16846,74747,15360,66142,12861
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	0.00537607832250797	0.135339775398703	0.407017918923954	0.789877342662753	1.89022214612721	26	213603,72433,70129,12660,210992,14077,74205,102247,100434,74596,236899,18618
GOBP_CILIUM_MOVEMENT	1.25220402176901e-05	0.00319398620527335	0.593325476396405	0.569781185707952	1.87493034046942	235	20322,102774,110350,68001,70997,69297,77254,99138,50525,227613,69329,75563,75564,432611,67378,171567,18830,72873,382406,381229,546143,69310,73301,381107,381738,71860,75172,26941,212892,110082,105833,104346,207607,237806,271564,75504,433956,69707,242253,68270,260305,69327,78774,21689,380654,69315,69260,226162,68922,18011,69306,75472,12589,74407,75533,74934,104362,332934,636104,71877,674895,75556,16977,214704,52028,68721,17427,66722,11829,16578,71840,71177,235345,21336,114606,75429,269209,213402,70882,16330,71233,21645,54562,70426,320214,433700,327954,320244,227058,67483,70989,330830,22210,68625,240960,226356,382113,22142,320277,74453,382562,21337,232943,227736,106757,114602,59030,71132
GOBP_AXONEME_ASSEMBLY	0.00189840676139608	0.0996582957625958	0.45505986738723	0.626570982256542	1.87428921628004	102	76779,70997,69297,243371,50525,69329,22092,75564,432611,67378,72873,381229,546143,74354,381738,69387,75172,212892,110082,105833,104346,207607,433956,69707,242253,68270,69327,15223,68922,18011,74407,74934,104362,332934,636104,16977,17427,66722,235345,269209,213402,54562,320214,327954,320244,76166,227058,328108,70989,330830,22210,68625
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	2.06436262206375e-06	0.00119850995658101	0.627256739718528	0.553899878610469	1.87141051771605	298	52331,269951,16548,227731,20917,17448,68943,14194,140491,68198,12359,66945,110078,70556,18597,67273,11370,11429,17449,20463,108099,18293,19045,74178,71361,56451,66972,67472,14936,17995,11652,11364,18627,103172,70383,19062,17685,66694,14584,57436,68077,18706,67876,110095,66052,67834,75530,15929,384783,66170,18124,16828,170731,74185,66841,226646,70673,66092,12857,66148,19017,72900,109815,76187,14711,22273,74777,110842,244416,77559,67680,16847,22113,18642,12868,16195,78330,230125,11564,66494,50799,11428,11666,11639,94044,20930,14004,75406,12974,56327,18126,606496,104130,66840,67130,58200,14387,12862,109264,105193,17991,66416,19047,68015,16189,319801,66091,66414
GOBP_AEROBIC_RESPIRATION	0.000602383134008152	0.0498460996166988	0.477270815362862	0.58997519698982	1.85874877904382	161	269951,20917,17448,68943,14194,68198,12359,66945,70556,18597,67273,11429,17449,20463,18293,56451,66972,67472,17995,103172,70383,17685,66694,68077,66052,67834,15929,170731,226646,66092,12857,66148,72900,22273,67680,12868,78330,230125,11564,11428,11666,11639,94044,20930,14004,75406,12974,56327,104130,67130,12862,109264,17991,66416,66091,66414,66576,225887,14467,67636,66445,76668,74450,68342,56312,12865,54405,66114,72759,69702,107197,11950,20523,66142,12861
GOBP_CYTOPLASMIC_TRANSLATION	0.000245971112802713	0.0294007824244184	0.49849310876659	0.585276897240836	1.85245803643322	164	67891,13629,27367,22384,11837,56347,223691,213541,69674,20091,26961,16785,73830,100503670,27979,68135,18458,12785,66085,20115,11652,110954,20104,19989,20103,19921,224045,20116,14694,54709,55944,19988,270106,66480,19944,20102,75705,76808,18746,666794,13494,16341,16898,13682,16865,66656,229663,76846,19982,269261,114641,14904,56335,19934,67025,209354,319195,53356,66475,27176,20068,67427,20090,19933,78294,57294,67115,232187,27050,225363,56449,20005,19943,22121,67186,14109,68092,19899,19941,26451,67671,65019,75617,66489,268449,20084,67248,66481,67281,54217,20085,19981,19946,69082,19951,57808,68052,56040,20042,20054,27370
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	0.000106014022963207	0.0189616847436384	0.538434096309916	0.647606166920452	1.84421493158321	70	15505,15511,193740,81489,67035,12468,56812,14228,12465,101869,56323,12017,15512,15516,68833,217012,15481,21454,69387,56612,56709,15507,15526,12461,18637,12759,12464,19298,12462,16149,56351,14828,12469
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	0.00119167227964036	0.0709151262059732	0.45505986738723	0.81520189711519	1.84242641086529	19	17888,21956,21393,22138,17868,11464,140781,21924,21954,17907,22003
GOBP_MYOFIBRIL_ASSEMBLY	0.00633404506093405	0.144452256644153	0.407017918923954	0.630494981606918	1.81935043862009	74	59006,17930,213435,17888,20807,11472,16669,11465,21956,21393,22138,17868,11464,380698,68794,18595,13008,22388,234072,68760,93689,13009,24131,228003,17929,21916,18175,22003,17128,93677,226041,14248
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.000128501755863031	0.0208892454330943	0.518848077743792	0.559050782406204	1.81500543715488	209	59006,17295,17930,213435,17888,20807,102774,16456,13821,13609,12797,54357,11472,20410,16669,218952,11465,71960,19062,12798,21809,21956,74376,66214,21393,22138,17868,13824,229474,11464,218194,19353,240505,380698,269233,68794,14219,22793,20971,236266,18016,18595,13008,22388,18479,234072,68760,93689,13430,13009,223864,17127,24131,18709,22417,228003,76260,20779,21927,17929,21916,56753,68606,18175,22003,104027,320472,228564,17128,71994,93677,21336,226041,54132,56363,14248
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	0.0139479823178327	0.197902682710495	0.380730400722792	0.845782277265685	1.81131168934813	15	56347,223691,73830,27979,68135,66085,54709,55944,16341,53356
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.00398789519138399	0.121586836624913	0.407017918923954	0.602397164864098	1.81057983587072	105	13087,15488,13088,19225,14073,26569,14081,66253,76267,113868,264895,14870,66082,13107,74205,70025,68312,171210,11689,74134,26897,14863,56473,23945,11430,11363,12896,68801,170439,56448,229211,19299,13076,106648,11666,26457,13106,94180,13078
GOBP_NADH_METABOLIC_PROCESS	0.00892951614896413	0.172847270878838	0.380730400722792	0.693337267673953	1.80704059176729	39	17448,14751,14555,17449,18293,14718,67863,333433,56012,78830,13806,18563,18641,14719,21991,56421,18746,18655,18642,50799,94044
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	0.00318462841254254	0.117486387506221	0.431707695803346	0.58396237620864	1.80613206557539	141	13087,15488,13088,12161,19225,14073,14081,17252,13350,76267,66853,113868,26358,14870,13850,13113,20148,66082,20277,13107,67800,56316,19662,68312,67442,11689,11529,74134,56473,100198,66375,23945,11430,77974,79235,19378,68801,11304,22417,56448,13076,106648,16890,11666,13106,12156,13078,241452,210198
GOBP_XENOBIOTIC_CATABOLIC_PROCESS	0.0168592589199585	0.20902926358789	0.352487857583619	0.775785756248807	1.80284909675641	22	13087,13088,14081,113868,14873,68312,14863,56448,18754,13076,18171
GOBP_XENOBIOTIC_METABOLIC_PROCESS	0.00500570883496612	0.128754434843686	0.407017918923954	0.592736201072567	1.78914481722893	113	13087,232174,18984,13088,14081,11669,113868,14859,68021,14870,12408,13113,14873,13107,76408,14263,20887,68312,14261,109857,74134,394435,19883,14863,69574,56448,18754,68214,18104,13076,18171,106648,13106,13078,114304,69719,12972,18671,55990,108096,63959,11670
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.00208438856786925	0.0996582957625958	0.431707695803346	0.714977677761541	1.78808273159786	31	233824,54160,53611,12847,270192,93739,102339,13047,56447,16834,108124,54161,53612,76332,59042,27277,216131
GOBP_TYROSINE_METABOLIC_PROCESS	0.00224339419537938	0.104760561531208	0.431707695803346	0.81681214730059	1.77954517290583	16	14085,67026,13180,14874
GOBP_LIPID_MODIFICATION	0.000828246653415539	0.0570507525335721	0.477270815362862	0.553904995062226	1.77674739441536	191	15488,18984,320204,52538,19012,97212,74121,16922,11370,108099,56690,93732,433323,15107,66887,72674,113868,11652,11364,19062,110446,13850,71985,13113,53627,228368,12908,19305,14077,231086,67800,18634,77582,102632,11450,384783,51798,14261,218121,11689,66841,11529,68465,11532,13177,20524,13139,11430,11363,12896,19017,212111,100705,110842,102294,11992,235044,26378,50784,14421,19299,15108,71767,13076,66968,207952,106648,11666,93747,13106,72129,27273,170835,268783
GOBP_MOTILE_CILIUM_ASSEMBLY	0.0134263039658947	0.197902682710495	0.380730400722792	0.60751267378769	1.77609974039791	81	102774,69297,77254,50525,69329,75563,75564,67378,72873,382406,381229,381738,75172,207607,69707,68270,78774,380654,15223,18011,12589,104362,332934,636104,622408,17427,66722,102124,213402,54562,320244,70989,330830,22210,68625,226356,320277,74453,382562,232943,227736,114602,73916,75437,22335,380614,67645,110012
GOBP_CELLULAR_RESPIRATION	0.000200275163672196	0.0254349457863689	0.518848077743792	0.550553286044011	1.77479483493599	199	269951,227731,20917,17448,68943,14194,68198,12359,66945,70556,18597,67273,11429,17449,20463,18293,71361,56451,66972,67472,17995,103172,70383,17685,66694,68077,18706,67876,66052,67834,75530,15929,66170,18124,170731,66841,226646,70673,66092,12857,66148,19017,72900,22273,110842,67680,12868,78330,230125,11564,66494,50799,11428,11666,11639,94044,20930,14004,75406,12974,56327,18126,104130,67130,12862,109264,17991,66416,68015,16189,66091,66414,66576,225887,14467,67636,66445,76668,74450,68342,56312,12865,54405,66114,72759,69702,107197,11950,20523,66142,12861
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS	0.0142091923925181	0.19829129457472	0.380730400722792	0.655291017867969	1.77210772561816	50	68738,14081,18597,228026,60525,56690,110446,29807,104112,18604,74205,12041,107476,106529,68801,170439,67053,100705,54397,18655,17850,27273,94180,27402,14104,74559,270076,433256
