pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_RIBOSOME	1.10806198070665e-08	1.96126970585077e-06	0.747739663149885	0.792517625071861	2.32386224678338	83	67891,27367,11837,20091,26961,16785,100503670,20115,110954,20104,19989,20103,19921,20116,19988,270106,66480,19944,20102,76808,16898,76846,19982,269261,114641,19934,67025,319195,66475,27176,20068,67427,20090,19933,78294,57294,67115,27050,68537,20005,19943,22121,67186,14109,19899,19941,26451,67671,65019,75617,66489,268449,20084,67248,66481,67281,54217,20085,19981,19946,19951,57808,68052,56040,20042,20054,27370,54127,225215
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	9.81042204270603e-05	0.00192938300173219	0.538434096309916	0.754063556167733	2.08843970286867	56	13087,13088,109731,67689,14862,14859,76263,14870,13113,14873,14872,14263,68312,14261,56615,11529,11532,394435,14863,14874,56448,68214,14262,13106
KEGG_RETINOL_METABOLISM	1.09089311260592e-05	0.000481049429957176	0.593325476396405	0.775041474735389	2.08051478821747	45	13087,232174,13088,17252,13350,26358,13113,20148,67800,67442,11529,11532,394435,77974,79235,19378
KEGG_PROPANOATE_METABOLISM	1.44587770782018e-05	0.000481049429957176	0.593325476396405	0.851493696500998	2.07863529337438	30	68738,20917,97212,110695,60525,56690,56451,11669,11364,11671,110446,66904,16832,104776,56752,16828,107476,110821,73724,100705,268860,17850,93747
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	9.745219089419e-06	0.000481049429957176	0.593325476396405	0.787114929464195	2.07400879737683	42	52538,97212,110695,15107,11669,113868,78038,11364,72039,11671,110446,66904,104776,231086,56752,67041,110821,58875,73724,15356,11992,15108,268860,17850,93747
KEGG_ASTHMA	1.87516718185003e-06	0.000165952295593727	0.643551836150722	0.860865448770789	2.06856413857783	27	93726,13587,13586
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.63067603375314e-05	0.000481049429957176	0.575610261071129	0.736434370208599	2.01464879552862	52	13088,67689,14862,14859,76263,14870,13113,14873,13107,14872,68312,56615,11529,74134,11532,394435,14863,14874,68214,13076,13106,13078
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	2.33144887238777e-05	0.00058952350058948	0.575610261071129	0.726292546049111	1.98690400976911	52	68738,14751,110695,14121,18597,60525,67689,11669,56012,11671,13806,18641,21991,56421,16832,18746,56752,16828,11529,11532,319625,14433,18655,18642
KEGG_CITRATE_CYCLE_TCA_CYCLE	5.77526674643357e-05	0.00127777776764843	0.557332238758646	0.794508856772902	1.91841719519301	29	269951,20917,17448,14194,66945,18597,11429,17449,18293,56451,18563,104112,66052,67834,15929
KEGG_PYRUVATE_METABOLISM	0.000127771989886596	0.00226156422099274	0.518848077743792	0.746797855455899	1.90386368720937	36	68738,17448,110695,18597,17449,60525,11669,11671,110446,18563,16832,68977,18746,56752,16828,107476,14651,109801,100705,52815,109264,18534,66204,76238,17436
