pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_AXONEME_ASSEMBLY	6.37422935168719e-11	1.29460598132767e-08	0.839088935621274	0.653728986508902	2.36054128968331	102	101100,72873,436022,70997,231214,74407,69297,432611,50525,227058,69329,269209,330830,74354,207607,381229,211535,114602,12009,320277,76166,66722,243371,243538,69707,105833,110082,15223,271209,241116,320214,69926,327954,244653,242253,75437,18011,110084,83434,381738,67378,100048534,235345,68270,100101919,71227,636104,54562,212517,109065,212892,74362,75172,13193,212124,104362,235330
GOBP_CILIUM_MOVEMENT	4.58427004044747e-15	2.06903387825529e-12	0.996986217533181	0.571434642628067	2.28523944715719	235	66573,101100,72873,436022,70997,20322,102774,217341,74407,69297,93670,432611,74052,50525,382562,227058,69329,269209,330830,207607,77627,56087,381229,211535,16833,381917,74025,214704,21338,114602,12009,320277,71877,69306,260305,66722,67119,78784,73301,110350,237465,243538,69707,105833,110082,674895,18830,233865,237806,69315,241116,320214,69926,240960,71860,327954,244653,330355,242253,75437,380654,18011,110084,381107,74446,75563,26941,83434,381738,106757,67378,100048534,68339,235345,16578,75504,78774,68270,74453,68001,100101919,71227,636104,54562,212517,382113,433700,109065,21337,75526,212892,21645,237891,74362,75172,231293,226356,114606,237930,75472,13411,329375,11643,104111,212124,104362,235330,75533
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	5.69801831951027e-12	1.28585280076948e-09	0.887074988399873	0.562719121729658	2.21310665718206	193	66573,101100,72873,20322,102774,217341,69297,93670,74052,50525,382562,227058,69329,330830,207607,77627,56087,381229,16833,381917,214704,21338,12009,320277,71877,69306,260305,66722,67119,78784,110350,237465,69707,105833,110082,18830,237806,69315,241116,69926,240960,71860,327954,330355,242253,75437,380654,18011,110084,381107,74446,75563,83434,381738,106757,67378,100048534,235345,16578,75504,78774,74453,100101919,636104,54562,212517,382113,433700,109065,21337,75526,212892,21645,237891,75172,226356,114606,237930,75472,13411,329375,11643,104111,212124,104362,235330
GOBP_SPERM_FLAGELLUM_ASSEMBLY	7.5308607848687e-07	5.18480618781977e-05	0.659444398037935	0.660824877389979	2.16392894244352	56	66573,72873,102774,69297,50525,382562,69329,330830,381229,12009,320277,66722,67119,237465,69707,241116,75437,380654,18011,110084,75563,83434,381738,67378,100048534,78774,74453,636104,212517,75172,226356,11643,104362,235330
GOBP_MICROTUBULE_BUNDLE_FORMATION	2.86161241862684e-09	3.52238474074613e-07	0.774939030136436	0.572269724791513	2.15117558837846	133	101100,56742,72873,436022,70997,380969,231214,74407,69297,432611,50525,227058,69329,269209,330830,74354,207607,381229,211535,114602,12009,320277,76166,66722,243371,210356,243538,78926,69707,105833,110082,15223,271209,241116,320214,69926,68617,327954,244653,223921,242253,75437,18011,110084,83434,381738,67378,100048534,68339,270058,215690,235345,68270,100101919,71227,636104,54562,212517,109065,212892,237891,74362,75172,237930,13193,232944,212124,104362,235330
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	2.63180145201589e-05	0.00106903774980886	0.575610261071129	0.682465169994368	2.06653777375529	38	436022,74407,432611,227058,207607,211535,114602,243371,243538,105833,110082,69926,327954,242253,110084,381738,68270,100101919,71227,54562,109065,235330,433956,26942,74934
GOBP_XENOBIOTIC_METABOLIC_PROCESS	3.24734191244719e-07	2.48881185818123e-05	0.674962860011025	0.561038758314981	2.05224755675601	113	13849,232174,13087,18104,68214,11761,18171,394435,18984,109857,76408,14081,27413,14873,74134,12408,13107,20859,14857,14859,11669,13088,13077,69574,11670,13076,14810,68021,237940,113868
GOBP_MOTILE_CILIUM_ASSEMBLY	1.25383663056971e-06	8.21465224737768e-05	0.643551836150722	0.593825850922475	2.0472194936259	81	66573,72873,436022,102774,231214,69297,50525,382562,69329,330830,207607,381229,114602,12009,320277,66722,67119,237465,380718,69707,15223,241116,75437,380654,18011,110084,75563,384452,83434,381738,67378,100048534,78774,68270,74453,380614,636104,54562,212517,74362,75172,226356,11643,104362,235330
GOBP_EXTRACELLULAR_TRANSPORT	3.73554864569632e-05	0.00144512367607795	0.557332238758646	0.620307676482916	2.02252345635835	54	436022,74407,50525,269209,207607,74025,320277,66722,110082,674895,233865,237806,380654,110084,26941,381738,100048534,68339,68270,74453,71227,54562,109065,212892,74362,231293,226356,13411,75533
GOBP_VITAMIN_TRANSPORT	5.3726586225639e-05	0.00189771646303083	0.557332238758646	0.609215004499814	1.97503236295719	52	116914,20527,56017,52710,117591,20528,330064,20522,26457,74777,20518,20897,69698,70129
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	4.5312348672843e-08	4.18315364338837e-06	0.719512826338911	0.509650566603019	1.97250655495835	178	13849,232174,14456,16511,13087,14756,16176,18104,68214,11450,18577,11761,18171,394435,18984,20665,109857,76408,14081,27413,14873,74134,12408,13107,18024,230379,20859,14857,16535,14859,11669,13088,170472,93898,14343,13077,320472,69574,11670,13076,14810,68021,237940
GOBP_SPERM_AXONEME_ASSEMBLY	0.000160265783126855	0.00466748302320062	0.518848077743792	0.662468304723099	1.95195791059818	34	72873,69297,50525,69329,330830,381229,12009,320277,66722,69707,241116,75437,18011,110084,67378,100048534,636104,212517,75172,104362,235330,237625
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	0.000141149361340443	0.00431089252454797	0.518848077743792	0.617433951046221	1.94453749411535	45	232174,79235,71361,18104,109857,12408,13070,546726,18830,20583,19660,13076,104086,64654,14182,106648
GOBP_STRIATUM_DEVELOPMENT	0.000593258658507827	0.0130968297329282	0.477270815362862	0.719977323775645	1.89648600124232	20	218772,75420,58234,13489,102774,56847,66797,67378,18293
GOBP_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	0.000625294041686965	0.0136556150394218	0.477270815362862	0.710052041668138	1.88649808657489	21	232174,353187,666794,20474
GOBP_INNER_DYNEIN_ARM_ASSEMBLY	0.0012039755006566	0.0209894784706743	0.45505986738723	0.754027807764089	1.87957609970699	16	227058,207607,114602,243538,327954,242253,110084,68270,100101919,54562,109065,433956
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	0.00136450280423479	0.0230805769040187	0.45505986738723	0.751012224616844	1.87205911167037	16	232174,103213,193385,11350,105782
GOBP_LIPID_OXIDATION	1.23701294102444e-05	0.000591146654875443	0.593325476396405	0.508226339331532	1.86822057875984	115	23886,93732,11450,230784,11370,18984,52538,320204,100705,27413,71985,216190,114886,67800,72674,75387,108099,14077,11409,16922,15112,16846,11992,11666,15107,56794,11684,56690,23986,11688,22160,223722,74147,113868,17117,51798,11651,170789,106648,80911,11652,23801,11430,71767,11529
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	3.95106106756342e-05	0.00149992617349931	0.557332238758646	0.534033694331652	1.86396197661651	86	11699,18104,68214,230784,76650,14873,64292,12359,50493,110257,114886,14776,11758,101488143,18024,56615,18127,22018,14857,19225,15122,17189,20202
GOBP_SUBPALLIUM_DEVELOPMENT	0.000586730808332735	0.0130235002374184	0.477270815362862	0.681518518124019	1.86383412451478	24	218772,75420,58234,13489,102774,56847,66797,67378,18293
GOBP_EPOXYGENASE_P450_PATHWAY	0.00150719397235222	0.0243452161544281	0.45505986738723	0.747425574361707	1.86311861633566	16	13087,74134,13107,13088,13077,13076,13078,106648
