pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_AXONEMAL_DYNEIN_COMPLEX	0.00024738135465798	0.00231582717913045	0.49849310876659	0.707274838051731	1.91721109744015	22	432611,227058,211535,381917,105833,110082,237806,69926,327954,242253,110084,381738,100101919,110083,76670,77505
GOCC_CILIARY_PLASM	9.83405110516808e-07	2.74807094772197e-05	0.643551836150722	0.489069530188453	1.90549043965211	172	286942,101100,72873,14632,72507,104871,70997,332110,74407,432611,50525,227058,69329,207607,77627,56087,211535,381917,214704,74665,71877,216560,242646,66722,110350,243538,105833,110082,16559,237806,69315,271209,320214,69926,22158,71860,71236,327954,106633,244653,330355,17758,242253,380654,110084,75563,83434,381738,100048534,74244,244608,75504,78774,68270,74453,100101919,433700,212892,228361,74362,110083,75172,226356,53860,74682,75472,13411,329375,75669,212124,71820,75533,68870,76670
GOCC_M_BAND	0.000442558705796148	0.00371011715025771	0.49849310876659	0.654989132534988	1.88313293432333	28	109272,17930,380698,98733,17868,13806,22138,76469,433766,320502,226849,66106,17929,228003
GOCC_MOTILE_CILIUM	1.99735964357236e-07	9.99710104243631e-06	0.690132458796796	0.440807558286896	1.80038103809832	295	13487,101100,72873,76568,70997,13489,20322,102774,11636,217341,666504,20276,74407,69297,432611,18412,50525,227058,83563,69329,330830,207607,77627,56087,381229,16833,320118,381917,214704,21338,74665,320277,71877,242646,67042,69306,66722,73301,230872,73287,110350,224661,237465,243538,11470,74895,69707,330721,105833,110082,329977,234912,75659,237806,69315,241116,320214,69926,108812,240960,71860,71236,215772,327954,76653,244653,330355,110084,381107,74446,75563,26941,83434,381738,106757,67378,100048534,16578,74675,213081,320225,75504,78774,74453,245578,380614,100101919,75732,71227,636104,18642,78801,54562,11490,212517,382113,433700,21337,212892,21645,74362,53814,75172,226356,114606,75472,13411,329375,11643
GOCC_9PLUS2_MOTILE_CILIUM	3.21975728358386e-06	7.0414691897508e-05	0.627256739718528	0.442061928165433	1.76195678436384	218	13487,101100,72873,70997,13489,11636,217341,666504,20276,74407,69297,432611,18412,50525,227058,83563,77627,56087,381229,381917,214704,21338,74665,320277,71877,242646,67042,69306,66722,73301,230872,73287,110350,224661,237465,74895,69707,330721,110082,329977,237806,69315,241116,69926,108812,240960,71860,215772,327954,76653,244653,330355,110084,381107,74446,75563,26941,83434,381738,106757,100048534,16578,74675,320225,75504,78774,74453,245578,100101919,18642,382113,433700,21337,212892,21645,53814,75172,226356,114606,75472,13411,329375,11643
GOCC_POTASSIUM_CHANNEL_COMPLEX	0.000589552190300189	0.00463351174564054	0.477270815362862	0.484048201696207	1.74046181246881	97	16511,58802,241528,14809,16521,23859,22318,16519,16526,60613,84036,16494,240899,13385,66797,16514,20907,16510,80906,16485,16500,16536,15166,16535,16508,14807,330953,16528,238076
GOCC_CILIARY_MEMBRANE	0.00106704660487929	0.00725303300343625	0.45505986738723	0.492064907281941	1.69661376001827	76	14751,58234,13489,233649,102774,74239,68525,20276,59056,210274,12879,78600,230500,319845,14686,14919,27008,192212,14685,107221,19206,57440,225600,13660,67378,19881,252974,18587
GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX	2.85495985894221e-06	6.52747640476333e-05	0.627256739718528	0.404763070499761	1.67784264850002	331	20271,16511,58802,241528,14809,16521,57249,14804,399548,78070,23859,22318,16529,53627,210741,12286,319734,233649,16519,12292,16526,666504,252972,60613,20276,12724,84036,72978,109305,14394,16494,240899,13385,66797,20277,16514,20907,20266,16510,237213,20191,11438,80906,16485,20264,16500,238161,16536,15166,69306,12740,16535,110880,58226,14802,16508,14807,14402,15512,14404,319922,330953,14403,239556,16528,11435,238076,108015,68539,14810,20273,56365,14813,110834,338370,106757,16515
GOCC_MYOSIN_FILAMENT	0.00638933095639759	0.0252686669254426	0.407017918923954	0.607525022339844	1.66652097385556	24	109272,17888,17930,17879,74376,17868,667772,17885,17929,17880,668940,17884
GOCC_A_BAND	0.00371828062372311	0.0166990638726136	0.431707695803346	0.54166928435262	1.66204431086907	40	109272,17930,380698,17879,98733,17868,329251,13806,22138,76469,433766,320502,226849,66106,17929
GOCC_CATION_CHANNEL_COMPLEX	0.000100509182255782	0.00120371711130139	0.538434096309916	0.418166192206189	1.65956825250706	209	20271,16511,58802,241528,14809,16521,399548,23859,22318,12286,319734,233649,16519,12292,16526,666504,60613,20276,84036,109305,16494,240899,13385,66797,20277,16514,20907,20266,16510,20191,11438,80906,16485,20264,16500,238161,16536,15166,69306,16535,110880,58226,16508,14807,15512,330953,239556,16528,238076,108015,20273,110834,106757
GOCC_DENDRITE_MEMBRANE	0.00636655227567855	0.0252686669254426	0.407017918923954	0.531440588218066	1.65750927919544	43	11941,269060,57138,12724,14394,21338,50997,16500,15166,14404,16337,15444,16502,16504,193034
GOCC_SODIUM_CHANNEL_COMPLEX	0.0112573305906066	0.0387838170347612	0.380730400722792	0.606880925328625	1.65483794220843	23	20271,14809,399548,20276,20277,20266,20264,110880,14807,20273
GOCC_DENSE_CORE_GRANULE	0.00493563441860978	0.0208623875005103	0.407017918923954	0.522251089093834	1.64604954860112	45	27062,54525,545192,11554,12310,13542,245049,14370,20980,104245,16560,20983,53420,11555,14678,12652
GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_MATRIX_ADHESION	0.0148433188643099	0.0466505517752898	0.380730400722792	0.644998203394617	1.6275884503078	17	81877,105450,16779,16772,246707,21960,18792
GOCC_MANCHETTE	0.0075181237432352	0.0282210167376665	0.407017918923954	0.600258718531537	1.62712232160547	22	74354,12009,320277,237465,74895,69707,117229,74453,239731,74362,226356,104362
GOCC_KERATIN_FILAMENT	0.0128831671601257	0.0429154508711471	0.380730400722792	0.543872032665689	1.61960721811114	33	217335,16679,105732,223650,74127,16668,16678
GOCC_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX	0.0107486496405399	0.0375456303416082	0.380730400722792	0.509305907744694	1.58847345639602	43	14809,14804,78070,53627,72978,13385,14802,14807,319922,14810,14813,12794,14814,244723,320460,229759,66082
GOCC_I_BAND	0.0020334172570524	0.0114922346100827	0.431707695803346	0.415653032048088	1.58300889949813	146	20271,59006,17888,380698,70729,78321,15464,21393,67399,12292,100504518,104027,68760,84036,16480,18175,98932,98733,170947,57339,16716,20533,20191,74376,59091,170736,329251,74165,22138,11472,225288,13009,12335,13346,433766,20595,65256,29810,58522,20273,11464,24131,13008,226849,109711
GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	0.0146026316796786	0.0464881249042931	0.380730400722792	0.546492497369729	1.57404387466795	29	14804,78070,53627,72978,13385,14802,319922,12794,244723,320460,229759,66082
GOCC_CATENIN_COMPLEX	0.0232621445734125	0.0642904325298158	0.352487857583619	0.532097642579921	1.55542489613046	31	381409,12386,23805,68764,16480,104010,22295,233651
GOCC_NEURON_PROJECTION_MEMBRANE	0.00540685739687348	0.0222922071362898	0.407017918923954	0.463741567429343	1.55411046969269	62	11941,269060,57138,11539,12724,14394,66797,21338,50997,16500,15166,193385,14404,110789,16337,17913,15444,16502,192190,16504,193034
GOCC_NEURONAL_DENSE_CORE_VESICLE	0.0176098270572912	0.0529567938876373	0.352487857583619	0.537818490832919	1.54906042672711	29	27062,11554,12310,13542,14370,16560,20983,53420,11555,14678,12652
GOCC_MICROBODY_LUMEN	0.0142704790188231	0.0459814041003466	0.380730400722792	0.471762052896929	1.53781196787249	52	93732,12359,171210,19193,70503,12971,16922,15112,76238,56794,13850,56690,23986,74147,113868,17117,51798,170789,80911,11430,71767
GOCC_CILIARY_TRANSITION_ZONE	0.00996665270024585	0.0353044106212934	0.380730400722792	0.445931300213271	1.53273155694134	75	71091,104871,102774,231214,58222,12009,76166,260305,319845,654470,17921,380718,14685,16559,271209,81896,73750,106633,67884,78306,213081,436062,74453,380614,232987,103765
GOCC_PLATELET_ALPHA_GRANULE_LUMEN	0.00643019754762754	0.0252686669254426	0.407017918923954	0.451299439415392	1.52687757359132	69	14456,22371,14067,74145,13645,22341,26968,20714,11537,320202,11472,104009
