pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	1.65282165648853e-12	1.34374400672518e-09	0.910119734774459	0.642953869228435	2.20667144481933	152	27367,67891,11837,16785,19921,19988,19944,26961,20115,20091,20104,20102,100503670,20103,56282,269261,270106,19989,76808,66480,20116,319195,66489,67427,107734,19982,76846,16898,94063,110954,14109,94062,94067,19951,67025,20084,20090,27370,232536,19899,67671,107732,19943,59054,65111,67036,67115,65019,78294,27176,66475,114641,20085,57294,27398,69527,67186,67248,75617,19933,68611,78586,64656,19941,68052,26451,20068,67681,54217,268449,18120,19896,20055,19942,19946,19981,20042,27397,121022,267019,19934,27050,56040,216767,20054,27207,67281,78523,66481,20005,54127,67270,68537,20088,57808
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	2.23719010508745e-09	6.06278518478699e-07	0.774939030136436	0.639172002709956	2.10808155204003	113	20322,76238,15107,68460,269951,14187,11522,11532,17448,109857,15488,67880,333433,74147,70750,17449,97212,71911,12408,16828,23918,68631,100198,110208,14555,231086,11529,14381,109264,15112,114664,52815,107029,52585,15929,64385,16833,17436,58810,67103,16498,15926,66375,18194,192970,66469,67717,15483,106648,236539,69772,11670,67834
GOMF_HYDRO_LYASE_ACTIVITY	5.04817232031329e-07	4.56018232934967e-05	0.659444398037935	0.691182056943968	2.07762764757102	58	217830,19223,11429,13806,15488,74147,11428,17025,12350,97212,14194,56078,23831,13180,13078,12353,12319,231086,71934,12593,243537
GOMF_ANTIOXIDANT_ACTIVITY	1.47149787919207e-07	1.70903967969022e-05	0.690132458796796	0.657703092979992	2.06190445931299	77	11758,17189,230784,14873,76650,56615,11699,50493,19224,14776,110257,68214,625249,11757,12359,114886,14869,14870,14857,15122,53381,14782,64292,54683,66447,76263,70564,20655,11657,101488143,11690,21672,213272,14775
GOMF_CARBON_OXYGEN_LYASE_ACTIVITY	3.11568383286285e-07	3.16631369514687e-05	0.674962860011025	0.650437032635432	2.0391253019911	77	217830,19223,11429,13806,15488,74147,11428,15361,17025,12350,97212,14375,22596,14194,56078,21991,23831,13180,13078,12353,12319,231086,71934
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR	3.708136675174e-06	0.000231901162839728	0.627256739718528	0.677304478732909	2.00327345905379	53	11758,17189,230784,56615,50493,19224,14776,110257,625249,11757,12359,114886,14869,14870,14857,15122,53381,64292,54683,66447,76263,101488143,11690,21672,14775
GOMF_ANTIGEN_BINDING	5.88363705377731e-09	1.19584923118024e-06	0.761460801445585	0.561418372900809	1.97391885227271	189	64540,545851,780956,380824,434028,15013,780932,636260,51792,382692,432702,628127,243420,668517,16019,15001,238448,667435,15007,16017,16071,243433,100775175,547420,780891,14132,628268,238447,668497,668478,20539,692152,780829,668589,100775174,434040,213570,110785,620400,780825,780803,110786,629906,16069,629865,382696,629908,620088,380809,100775173,67133,100124698,780831,629845,211331,780799,780938,238427,544896,620050,629860,238418,434041,16098,629930,629859,619833,18725,100038909,629849,545847,629893,780884,243423,674018,629919,622728,69165,628072,668591,106021
GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	3.46581805883792e-05	0.00148300530622907	0.557332238758646	0.685240450446371	1.93873295118066	42	17930,21393,11472,109272,16669,17868,22138,380698,13009,17897,56642,17885,22003,17907,58916,13008
GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	6.70356305965958e-05	0.00236956381195793	0.538434096309916	0.691726795783275	1.92642503061707	37	20322,68460,14187,11522,11532,109857,67880,12408,11529,52585,58810,16498,66375,11670,108841,76187,98711,105014,20148,20751
GOMF_NAD_BINDING	4.29542819242908e-05	0.00174609156022242	0.557332238758646	0.641592670622178	1.90677336220015	54	20322,76238,15107,269951,14433,72535,333433,74147,97212,17995,11669,68631,56847,14555,109264,14661,107029,15929,17436
