pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.2206082468398e-09	4.13175891555273e-07	0.788186810800237	0.702091670375426	2.243262524476	72	12483,110786,12482,12478,12518,15985,16019,242248,12143,16818,108655,69169,110787,72699,16428,11350,17060,17260,12517,380795,21682,16017,110785,404711,238447,12229,107321,12169,239743,16071,224860,56743,16016
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	7.0959031201837e-12	5.76471169483724e-09	0.887074988399873	0.578335818779749	2.1380725101679	196	12483,110786,12482,108723,240754,12478,12518,100503878,15985,14462,16019,242248,12143,16818,108655,12501,12503,21838,74015,69169,110787,72699,12234,12487,12502,12775,12525,104418,16428,74585,16797,100125262,11350,22165,17060,14969,17260,12517,380795,100125263,22637,328795,78473,12526,50723,21682,16534,16017,110785,404711,24105,14961,238447,210757,20400,12229,107321,12169,239743,15018,16071,67596,12500,16151,224860,547431,56743,101540,75454,16016,225825,18803
GOBP_DNA_MODIFICATION	2.03432300368675e-05	0.00091815778233062	0.575610261071129	0.797431982901248	2.02969801419687	21	27998,17193,21673,18207,382913,70603,11545,72774,22256,11546,71726,268395
GOBP_VENTRICULAR_SEPTUM_MORPHOGENESIS	2.15030730599056e-05	0.000959840469992711	0.575610261071129	0.66754450706293	1.9837509097092	45	23796,17684,57265,20677,93840,15214,12159,20666,22761,14183,268902,116701,21814,15213,19876,11477,14613,21386
GOBP_B_CELL_MEDIATED_IMMUNITY	1.05314917458313e-08	2.67368246697293e-06	0.747739663149885	0.521425554298903	1.95559619493582	219	110786,12902,14128,12478,435321,628614,21939,780932,21947,232811,69169,57765,110787,640506,103213,12487,56708,380823,16199,75698,668591,195180,50931,629884,17685,780799,380795,237877,69379,18861,58230,16017,110785,629849,16963,629818,404711,780883,629859,22256,21940,380808,238447,16149,780825,17221,674018,777688,100775175,668421,668589,12229,629826,780938,17350,668597,100775173,780956,15018,20947,14991,12458,16185,382692,16071,211331,780801,629871,629833,668474,16183,629893,629906,16016,668478,629930,225825,780931,100775174,622728,380792,780829,434609,213570,780960,20371,77727,380824,629822,619833,780939
GOBP_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.000100960314194639	0.00292751677784127	0.538434096309916	0.828859234233612	1.9508122140103	15	16818,20677,20668,21414,20850,16842,16641,20851,12769
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.000434636607899955	0.00817358287634082	0.49849310876659	0.755355453149508	1.89967006470012	20	12483,12478,108655,69169,12517,107321,224860
GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	0.000723697316888048	0.0118645359014122	0.477270815362862	0.769733678490311	1.88458881428702	18	60322,53374,67980,54371,245847,76969,56773,16795
GOBP_B_CELL_ACTIVATION	1.41024265031751e-08	3.36965037975866e-06	0.747739663149885	0.491339131094208	1.88329147331979	268	12483,12482,72049,11622,12902,108723,272382,240754,18985,229499,12478,12518,15985,12145,16019,108995,242248,21423,321019,22416,18507,16590,21939,14255,15184,15900,21947,232811,54125,57765,103213,15242,12487,56708,22780,17305,57916,75698,329693,11350,50931,14256,20850,17060,17260,16842,17685,75725,237877,22637,20851,50723,18861,58230,19373,18709,22256,21940,12034,17079,16149,81897,12229,12193,17350,268564,20947,12458,17863,79221,16969,16183,14977,74131,224860,56743
GOBP_CARDIAC_SEPTUM_DEVELOPMENT	8.57261729025407e-06	0.000504666252652348	0.593325476396405	0.549253900805073	1.88278792149485	109	23796,14462,17684,14465,57265,20677,21385,93840,15214,12159,319757,20666,22761,14183,12142,66513,17168,17130,67784,15531,74025,268902,24069,22666,71461,116701,77579,21388,16007,21814,108154,13805,380718,15213,26920,22059,19876,18186,11477,320790,14613,18187
GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	0.000239222785973623	0.00552115316264124	0.518848077743792	0.62181808444205	1.86647929826595	47	14368,14369,106042,57265,13543,93840,11350,243548,407821,59036,74025
GOBP_LYMPHOCYTE_DIFFERENTIATION	5.51734972445336e-11	2.80143432259119e-08	0.851339057116899	0.467492617331323	1.86212280138953	430	12482,14369,12902,108723,272382,18985,12478,12518,100503878,15985,14462,16019,21423,15001,321019,16818,108655,74734,18507,16590,14255,12501,15184,56218,14370,15900,21947,30925,20677,58208,54125,15284,17068,57765,103213,15242,12479,12487,56708,22780,12502,12775,12525,20668,17305,16428,12159,83796,20667,21414,16161,11350,54485,14256,20850,17060,14969,16842,17685,22410,75725,16364,83797,14357,16847,12504,22637,16641,22761,252838,15978,20851,74775,50723,12142,19373,12326,16362,228361,20849,18709,16160,12769,14534,21940,381812,210757,16149,17221,19885,81897,18762,18782,16950,12229,12193,239985,57757,268564,64930,15018,14991,12458,14367,17863,79221,67596,12481,12399,16969,12500,16169,16183,14977,74131,12522,224860
GOBP_GAMMA_DELTA_T_CELL_ACTIVATION	0.00110945547956081	0.0157573711817342	0.45505986738723	0.696430855089373	1.83521546693497	26	16818,12501,12503,20677,12502,20668,16428,21414,20850,16842,16641,20851,12769
GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS	8.33299122779383e-05	0.00258386338681668	0.538434096309916	0.554928134558579	1.8279116118111	88	14369,108723,14462,12501,14370,58208,12487,12502,12775,12159,11350,20850,22637,252838,20851,19373,12326,16149,12193,268564,12458,14367,67596,12500,22417,229473,12192,13866,20371,21417,22059,18021,13655
