pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_IMMUNOGLOBULIN_COMPLEX	6.93739376678596e-25	3.48950906469334e-22	1.29512308741004	0.717729211639057	2.82973567706172	143	636260,380809,544896,668497,238427,382692,545851,195180,780799,22364,432702,434025,16017,780818,628127,380824,243433,434028,667435,780932,243423,629906,780825,238447,668591,780831,100775174,620400,629884,780891,243431,629865,16098,100775173,16071,100126459,668469,628268,629845,380795,384417,692165,16069,667550,382696,545850,620017,780803,780931,622728,780956,629833,545847,668597,619833,434040,16019,780960,668478,780938,619960,213570,15985,628614,780829,780883,668549,629893,619916,16136,380823,12518,100775175,434031,381777,780801,404711,629919,110785,18703,195297,668421,636462,668589,629818
GOCC_T_CELL_RECEPTOR_COMPLEX	5.89041420019769e-09	7.40719585674859e-07	0.761460801445585	0.621520893945118	2.25586440499953	87	107573,12502,547420,100039790,12501,100124680,100124698,12526,22637,12511,100126459,100124675,100126458,100124699,279882,667765,12500,100125263,77647,12525,620297,100124677,100124679,12503,269846,12504,78473,436479,195297,100126469,100043308,100125262,547329,100124672,667567,634322,667626,667476,100124688,547428,382180,639655
GOCC_MICROBODY_LUMEN	1.23619177242447e-05	0.00041453630768634	0.593325476396405	0.617608460800703	2.07475244055057	52	12359,15488,14080,66887,56690,76263,76238,12971,19305,171210,51798,74121,11920,113868,19299,11430,14712,74147,71767,16922,70503,56794
GOCC_SPLICEOSOMAL_TRI_SNRNP_COMPLEX	0.000152370613283513	0.00403381149903196	0.518848077743792	0.64419192636873	2.023981543189	37	68879,27366,234723,20227,53607,70233,20638,320632,28035,192159,20624,20826,53890,67229,70767,74351
GOCC_ALPHA_KETOACID_DEHYDROGENASE_COMPLEX	0.000283693573379599	0.00611701432035355	0.49849310876659	0.747386200730884	1.95704887937204	18	228026,18604,209692,12041,12040,18597,18293,27402
GOCC_SMALL_SUBUNIT_PROCESSOME	0.000110194489273417	0.00307932378358493	0.538434096309916	0.529873911879256	1.87973128670507	72	56321,59028,99480,20091,110816,20103,20102,230082,20104,20116,67973,74778,208144,50912,57315,66538,20826,68966,52705,14791,225348,57294,19090,20115,22596,65961,223499,67134,269470,100608,66475,18572,78294,20044,76846,20085,213773
GOCC_MRNA_CLEAVAGE_FACTOR_COMPLEX	0.00139901962438583	0.0171635822211238	0.45505986738723	0.668020756932081	1.86779410203173	23	98985,54451,70044,74320,223642,67337,68188,94230
GOCC_U5_SNRNP	0.000834182518044697	0.0127242856840829	0.477270815362862	0.699925950675458	1.85478800909386	19	68879,27366,234723,70233,20638,320632,192159,68295,67229,74351
GOCC_PRECATALYTIC_SPLICEOSOME	0.000598150893966413	0.010374824126383	0.477270815362862	0.552787053097587	1.84565063554485	51	68879,319322,215051,27366,20227,69192,20638,320632,67532,24010,192159,20624,20826,209003,20222,75062,107701,70767
GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	0.000259711686490333	0.00593795355930171	0.49849310876659	0.509500213087141	1.81305105471589	75	68879,319322,215051,27366,234723,231803,20227,72459,53607,70233,192231,193116,116748,20638,320632,28035,192159,68295,72290,20624,20826,209003,20222,53890,75062,28036,67229,107701,70767,74351,54614
GOCC_INTAC_COMPLEX	0.00192881821367772	0.0210912078582586	0.45505986738723	0.697597159307303	1.8057096906535	17	51792,109077,101861,231868,69882,71957,210925,68510,229543,70885
GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX	0.000291865494410507	0.00611701432035355	0.49849310876659	0.511852515155419	1.80380428309994	71	24074,56505,19646,27374,14055,103551,17283,75273,74322,67773,269536,68729,231051,77305,20174,51812,17187,665775,15182,216850,29808,69496,22289,214162,228980,12419,71200,55982,228829,93759
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	0.000920975153763986	0.0132357286383796	0.477270815362862	0.536744534824918	1.80310359112703	52	67891,27367,26961,110954,11837,100503670,76808,19989,270106,19921,19988,19899,19944,19933,19934,619605,66483,20005,67186,66480,67025,319195,67115,67671
GOCC_CYTOSOLIC_TRANSLATION_PREINITIATION_COMPLEX	0.00243481438381601	0.0240139536286168	0.431707695803346	0.676629182776744	1.79305209873438	19	223691,55944,27979,68135,20918,16341,66085,66235,73830,53356,54709,56347,98221
GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX	0.00211607649514396	0.0226465207884556	0.431707695803346	0.692283937998377	1.79195657386093	17	223691,55944,27979,68135,20918,16341,66085,66235,73830,53356,54709,56347,98221
GOCC_CYTOSOLIC_RIBOSOME	0.000211566913069861	0.00521748976500117	0.518848077743792	0.465279236386741	1.75756890351039	109	13627,67891,27367,16785,26961,50849,110954,11837,100503670,76808,20091,19989,22224,20103,270106,20102,231659,20104,20116,19921,19988,19899,14694,19944,105083,19933,19934,27050,56422,619605,57294,66483,66481,20005,67186,66480,20115,67025,77987,319195,67115,67671,229317,75452,78913,66475,78294,20084,20090,20044,76846,14109,67427,20085,75617,22186,27103,114641,57751,213753,54217,66229,66489,67097,19981,19951
