pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING	1.22357287597145e-06	0.000160327516845034	0.643551836150722	0.684931333656354	2.21745386730377	69	223650,235505,18127,18791,20720,22417,99571,385643,14173,19128,18787,26365,18793,13614,21926,18792,668225,12928,56744,58992,14089,18788
GOBP_SARCOMERE_ORGANIZATION	0.000258808277222926	0.00982503945868715	0.49849310876659	0.684861277419422	2.1142433435901	49	68794,107765,17930,17929,213435,109272,11472,13614,17888,12391,59006,225288,18810,22138,21956,24131,93677,17868,13009,68760,12632,11465,68802,380698,16669
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	8.66764137073453e-06	0.000789482996629379	0.593325476396405	0.627823213423377	2.09157382768589	85	68048,245527,27280,17246,12028,170770,12575,67941,12051,106298,12062,17869,58801,226695,29813,64058,51800
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE	3.85959735896519e-06	0.000423721201949097	0.610526878385931	0.596314694230007	2.08623372088899	110	68048,27280,74041,13663,12028,170770,12575,55948,67941,13836,12051,56489,17869,21937,15937,20613,226695,21926,29813,12778,12018,51800
GOBP_AXONEME_ASSEMBLY	2.62865819721985e-06	0.000314047341091383	0.627256739718528	0.600206604559363	2.07980480804933	102	73293,104362,114602,330830,241116,327954,242584,100048534,544678,69707,69926,320277,110084,207686,15223,70989,101100,235345,432611,69327,74934,436022,19888,235330,212892,207607,212124,320214,50525,211535,66722,243538,71227,18011,51938,74362,381229,26942,100101919,105833,76166,69329,546886,244653,213402,227736,77609,381350,242253,70997,433956,72873,381738,212517,12009,68625,332934,68922,269209,110082
GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	0.000102509669830201	0.00507797901036924	0.538434096309916	0.81102909039058	2.07308037568359	20	17246,14456,55948,29810,13726,16176,223864
GOBP_MICROTUBULE_BUNDLE_FORMATION	2.18048072992408e-06	0.000268397355301564	0.627256739718528	0.569037456429538	2.0571127954114	133	56742,223921,73293,104362,114602,330830,241116,327954,242584,100048534,544678,69707,69926,320277,110084,207686,15223,13589,70989,101100,235345,432611,69327,74934,360213,17755,436022,237891,19888,235330,212892,207607,212124,320214,50525,14159,211535,66722,243538,71227,18011,51938,74362,381229,26942,100101919,232944,105833,76166,56430,69329,546886,244653,213402,227736,78926,77609,380969,381350,242253,70997,433956
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	5.36713928730343e-07	7.51769647759535e-05	0.659444398037935	0.55675799663005	2.04927137811082	161	18024,12028,170770,80888,14828,22433,15519,11910,56323,15481,22393,12443,192193,18415,19106,29810,71648,29818,15516,15510,17872,15505,67812,12406,12018,67490,51800,231630,58992,26918,15502,214424,15512,74840,193740,19246,11911,56424,27403,70231,15507,69253,13665,21825,30934,27362,100037258,269523,56334,108954,67878,64136,67819,28146,116891,236904
GOBP_PROTEIN_REFOLDING	0.000194960149000851	0.00791928125241458	0.518848077743792	0.756856797158601	2.04891263654141	27	14828,15519,15481,15526,15510,15511,15502,15512,193740,15507,69253,56445,110920,64136,56812,12955,58233,14225
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	6.11986382666661e-10	3.10736085798997e-07	0.801215574617779	0.514273056702858	2.02333768335403	312	68048,245527,27280,17246,74041,13663,18024,12028,21933,170770,12575,12282,55948,67941,13836,17390,66725,12051,19225,22433,14173,106298,56489,12062,17869,21937,76933,58801,54711,18793,22393,15937,20613,226695,21926,29813,16153,12778,64058,17872,15251,13806,12018,18453,51800,26918,320709,12484,15502,52668,11783,17210,56532,193740,30954,19246,56772,11911,14198,74126,15507
