pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_MODIFIED_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.000413589414287873	0.0174961016726102	0.49849310876659	0.689174875041531	1.8593127224692	33	116914,56774,14726,30805,240638,68066,83429,102857,78830,330064,50799
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_REGULATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	0.000517987676286737	0.0191419991282326	0.477270815362862	0.707198860564455	1.8581547234884	29	14456,78688,195046,13036,11757,12070,12122,11783,54683,17948,106869,11799
GOMF_HYDROLASE_ACTIVITY_HYDROLYZING_O_GLYCOSYL_COMPOUNDS	4.77683551750732e-05	0.00506919494980718	0.557332238758646	0.58596908252497	1.85480989827455	80	74185,27419,23956,17160,66848,17159,12091,11605,14667,15212,17158,14420,74245,217364,71665,110006,18419,15932,17939,15442,242362,74577,17105,11722,110173,213012,50798,15211,15586,18010,140481,226413
GOMF_SINGLE_STRANDED_DNA_HELICASE_ACTIVITY	0.000502874285304267	0.0191419991282326	0.477270815362862	0.734773226235534	1.84750741792604	23	72151,17218,17217,17220,66634,17219,17215,69263,19361,327762,17216,77782,117599,208084,72107,106344,214901
GOMF_DNA_HELICASE_ACTIVITY	0.000163245607134339	0.0102091291230937	0.518848077743792	0.605623507535276	1.83438983562623	59	226409,72151,330149,17218,17217,17220,66634,17219,17215,69263,19361,104806,327762,17216,237911,13872,12144,269400,17535,77782,117599,208084,22596,623474,72107,106344,214901,79456
GOMF_PROTEOGLYCAN_BINDING	0.00066253979715103	0.0215457942033515	0.477270815362862	0.677684334026345	1.82831259482192	33	14268,93695,11816,20562,70370,13039,13030,21923,13040,11603,15442,53378,20563,13038,12824,14313,12845
GOMF_NADPH_BINDING	0.000430408405230263	0.0174961016726102	0.49849310876659	0.801549790469174	1.82377342568099	15	76238,234309,70750,109857,13361,67460
GOMF_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.000547537269663715	0.0193542521842	0.477270815362862	0.704924622148144	1.79815484624127	24	30806,11732,56857,20516,229731
GOMF_WW_DOMAIN_BINDING	0.00124946223515209	0.0343197127174541	0.45505986738723	0.708877569374804	1.78239560324087	23	20276,22032,20278,228413,240641,12532,66940,18022,23994,65113,74716
GOMF_4_IRON_4_SULFUR_CLUSTER_BINDING	0.00130862373215385	0.0343197127174541	0.45505986738723	0.620204356718934	1.78124878745491	44	18973,11428,76826,58185,11429,19076,327762,237911,237926,100929,99586,269400,26425,18971,67563,79464,109006,116905,227197
GOMF_ANTIGEN_BINDING	6.3669844977789e-06	0.00258817919834712	0.610526878385931	0.501983254778749	1.78022037969335	189	64540,18725,110787,15001,110786,110785,629860,15013,238418,668395,434036,50934,629908,629859,16016,100775175,434040,780938,100041146,668517,780932,195180,628072,628268,15007,19261,544896,106021,20539,435321,382695,667435,780883,434025,777780,668469,668478,211331,668591,780929,21354,629822,193574,435900,629833,404711,780829,16019,780960,629897,777688,780956,238447,380824,780825,381777,622728,668497,545851,16017,100038909,243433,16071,384419,21641,16069,243439,619833,213570,432702,380808,668438,380792,620400,238448,629871,692152
GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	0.00109322837218553	0.0317426666638156	0.45505986738723	0.601123098538435	1.77789283612309	51	213948,18828,228432,328370,217733,11303,238257,22334,18670,67331,320091,75909,224807,11307,11981,230779,11304,11305,100504689,70310,26943
GOMF_PHOSPHOLIPID_SCRAMBLASE_ACTIVITY	0.000799637097166298	0.0240779614813408	0.477270815362862	0.695779312313261	1.77482656023267	24	213948,18828,228432,217733,22334,320091,75909,224807,230779,100504689,70310,26943,71345,218335
GOMF_METAL_CLUSTER_BINDING	0.00029138386888691	0.0148059428378161	0.49849310876659	0.570052585766768	1.76853273627857	71	14151,18973,68066,218341,18041,11428,76826,58185,11429,19076,327762,237911,72168,237926,100929,99586,269400,14869,26425,18971,67563,30926,79464,109006,116905,227197,52637,231327,11761,66694,52535,26426,72900,73046,66383,16571
GOMF_DAMAGED_DNA_BINDING	0.000630536752164585	0.0213594324795753	0.477270815362862	0.566557950285641	1.76641263196105	73	56210,27015,58186,68275,18294,72584,80905,12189,50505,234258,14156,268395,55947,67241,13872,12144,19891,18971,77782,22256,60534,22590,13194,18538,26447,11545,97165,22596,22594
GOMF_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0024496901590634	0.0585764146858396	0.431707695803346	0.626754730923547	1.75920367106479	38	116914,14726,56643,73132,68066,56325,26874,234595,108052,330064,76257
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS	6.79830030151825e-05	0.00614113127237149	0.538434096309916	0.526608249455039	1.75703689248919	119	74185,27419,23956,17160,66848,17159,12091,11605,14667,15212,17158,14420,320685,74245,217364,20597,18294,71665,110006,18419,15932,234258,268395,17939,15442,21899,242362,74577,211286,12182,17105,11722,12494,110173,22256,213012,50798,15211,18538,15586,107527,18010,140481,226413,382913,71884,21897,381101
